,s,Senario ID,Senario type,RT1,R,sex,age,theta,beta,alpha,beta_s
455,25,2,AGE+GENDER,3.249,1,0,1,0,0,0,1
456,25,14,AGE+GENDER,11.981,0,0,1,0,0,0,1
457,25,1,GENDER,4.08,1,0,1,0,0,0,1
458,25,13,AGE+GENDER,2.281,0,0,1,0,0,0,1
459,25,7,AGE+GENDER,3.981,0,0,1,0,0,0,1
460,25,12,AGE+GENDER,4.797,0,0,1,0,0,0,1
461,25,10,GENDER,5.514,1,0,1,0,0,0,1
462,25,15,GENDER,2.598,0,0,1,0,0,0,1
463,25,9,AGE+GENDER,4.948,1,0,1,0,0,0,1
464,25,13,AGE+GENDER,1.981,0,0,1,0,0,0,1
465,25,10,GENDER,2.548,0,0,1,0,0,0,1
466,25,4,AGE+GENDER,3.248,0,0,1,0,0,0,1
467,25,14,AGE+GENDER,3.897,0,0,1,0,0,0,1
468,25,12,AGE+GENDER,3.13,1,0,1,0,0,0,1
469,25,1,GENDER,2.98,0,0,1,0,0,0,1
470,25,7,AGE+GENDER,6.582,1,0,1,0,0,0,1
471,25,2,AGE+GENDER,4.764,0,0,1,0,0,0,1
472,26,7,AGE+GENDER,6.615,1,0,1,1,1,1,2
473,26,14,AGE+GENDER,5.214,0,0,1,1,1,1,2
474,26,4,AGE+GENDER,4.948,0,0,1,1,1,1,2
475,26,10,GENDER,7.498,1,0,1,1,1,1,2
476,26,13,AGE+GENDER,4.131,1,0,1,1,1,1,2
477,26,12,AGE+GENDER,3.398,0,0,1,1,1,1,2
478,26,1,GENDER,4.831,1,0,1,1,1,1,2
479,26,15,GENDER,3.565,1,0,1,1,1,1,2
480,26,2,AGE+GENDER,3.065,0,0,1,1,1,1,2
481,26,9,AGE+GENDER,4.748,1,0,1,1,1,1,2
482,26,1,GENDER,3.581,1,0,1,1,1,1,2
483,26,12,AGE+GENDER,4.548,0,0,1,1,1,1,2
484,26,9,AGE+GENDER,3.047,1,0,1,1,1,1,2
485,26,2,AGE+GENDER,3.647,0,0,1,1,1,1,2
486,26,10,GENDER,4.514,1,0,1,1,1,1,2
487,26,13,AGE+GENDER,3.064,1,0,1,1,1,1,2
488,26,7,AGE+GENDER,2.947,1,0,1,1,1,1,2
489,26,4,AGE+GENDER,3.947,0,0,1,1,1,1,2
490,26,15,GENDER,3.798,1,0,1,1,1,1,2
491,26,14,AGE+GENDER,3.697,0,0,1,1,1,1,2
492,27,4,AGE+GENDER,2.915,0,0,1,0,0,0,0
493,27,9,AGE+GENDER,2.248,1,0,1,0,0,0,0
494,27,1,GENDER,1.915,1,0,1,0,0,0,0
495,27,10,GENDER,2.981,1,0,1,0,0,0,0
496,27,13,AGE+GENDER,2.382,0,0,1,0,0,0,0
497,27,7,AGE+GENDER,3.815,0,0,1,0,0,0,0
498,27,15,GENDER,4.581,1,0,1,0,0,0,0
499,27,2,AGE+GENDER,2.314,1,0,1,0,0,0,0
500,27,14,AGE+GENDER,1.548,0,0,1,0,0,0,0
501,27,12,AGE+GENDER,1.447,1,0,1,0,0,0,0
502,27,15,GENDER,2.365,1,0,1,0,0,0,0
503,27,10,GENDER,2.814,1,0,1,0,0,0,0
504,27,4,AGE+GENDER,3.264,0,0,1,0,0,0,0
505,27,9,AGE+GENDER,3.231,1,0,1,0,0,0,0
506,27,1,GENDER,1.931,1,0,1,0,0,0,0
507,27,2,AGE+GENDER,1.914,1,0,1,0,0,0,0
508,27,13,AGE+GENDER,1.697,0,0,1,0,0,0,0
509,27,12,AGE+GENDER,1.397,1,0,1,0,0,0,0
510,27,14,AGE+GENDER,0.98,0,0,1,0,0,0,0
511,27,7,AGE+GENDER,1.298,0,0,1,0,0,0,0
512,28,7,AGE+GENDER,15.182,1,0,1,1,1,1,3
513,28,13,AGE+GENDER,11.632,1,0,1,1,1,1,3
514,28,9,AGE+GENDER,8.028,1,0,1,1,1,1,3
515,28,1,GENDER,3.947,1,0,1,1,1,1,3
516,28,10,GENDER,3.745,1,0,1,1,1,1,3
517,29,10,GENDER,6.349,1,0,1,0,0,0,0
518,29,9,AGE+GENDER,5.848,1,0,1,0,0,0,0
519,29,7,AGE+GENDER,5.798,1,0,1,0,0,0,0
520,29,14,AGE+GENDER,8.465,0,0,1,0,0,0,0
521,29,12,AGE+GENDER,5.697,1,0,1,0,0,0,0
522,29,1,GENDER,7.564,1,0,1,0,0,0,0
523,29,15,GENDER,7.215,1,0,1,0,0,0,0
524,29,2,AGE+GENDER,5.864,1,0,1,0,0,0,0
525,29,9,AGE+GENDER,5.297,1,0,1,0,0,0,0
526,29,10,GENDER,2.248,1,0,1,0,0,0,0
527,29,7,AGE+GENDER,3.215,1,0,1,0,0,0,0
528,29,15,GENDER,4.281,1,0,1,0,0,0,0
529,29,13,AGE+GENDER,9.715,1,0,1,0,0,0,0
530,29,12,AGE+GENDER,2.548,1,0,1,0,0,0,0
531,29,4,AGE+GENDER,4.815,0,0,1,0,0,0,0
532,29,2,AGE+GENDER,5.864,0,0,1,0,0,0,0
533,29,1,GENDER,3.531,1,0,1,0,0,0,0
534,29,14,AGE+GENDER,2.896,0,0,1,0,0,0,0
535,30,13,AGE+GENDER,10.863,1,0,0,0,0,0,1
536,30,14,AGE+GENDER,6.381,0,0,0,0,0,0,1
537,30,10,GENDER,5.431,1,0,0,0,0,0,1
538,30,15,GENDER,13.53,1,0,0,0,0,0,1
539,30,12,AGE+GENDER,13.348,0,0,0,0,0,0,1
540,30,7,AGE+GENDER,10.881,0,0,0,0,0,0,1
541,30,2,AGE+GENDER,5.564,1,0,0,0,0,0,1
542,30,1,GENDER,5.664,1,0,0,0,0,0,1
543,30,9,AGE+GENDER,2.881,0,0,0,0,0,0,1
544,30,4,AGE+GENDER,5.83,0,0,0,0,0,0,1
545,30,12,AGE+GENDER,2.547,0,0,0,0,0,0,1
546,30,4,AGE+GENDER,5.83,0,0,0,0,0,0,1
547,30,15,GENDER,6.364,0,0,0,0,0,0,1
548,30,9,AGE+GENDER,1.914,0,0,0,0,0,0,1
549,30,10,GENDER,2.664,0,0,0,0,0,0,1
550,30,14,AGE+GENDER,2.163,0,0,0,0,0,0,1
551,30,7,AGE+GENDER,3.713,0,0,0,0,0,0,1
552,30,2,AGE+GENDER,4.198,0,0,0,0,0,0,1
553,30,13,AGE+GENDER,7.681,0,0,0,0,0,0,1
554,30,1,GENDER,2.647,0,0,0,0,0,0,1
555,31,10,GENDER,10.265,1,1,0,1,1,1,3
556,31,2,AGE+GENDER,5.698,1,1,0,1,1,1,3
557,31,7,AGE+GENDER,4.398,0,1,0,1,1,1,3
558,31,12,AGE+GENDER,7.183,1,1,0,1,1,1,3
559,31,9,AGE+GENDER,2.63,1,1,0,1,1,1,3
560,31,13,AGE+GENDER,5.148,0,1,0,1,1,1,3
561,31,4,AGE+GENDER,2.448,0,1,0,1,1,1,3
562,31,15,GENDER,5.699,1,1,0,1,1,1,3
563,31,14,AGE+GENDER,2.347,0,1,0,1,1,1,3
564,31,1,GENDER,8.797,1,1,0,1,1,1,3
565,31,9,AGE+GENDER,6.73,1,1,0,1,1,1,3
566,31,1,GENDER,6.831,1,1,0,1,1,1,3
567,31,14,AGE+GENDER,2.665,0,1,0,1,1,1,3
568,31,13,AGE+GENDER,2.381,0,1,0,1,1,1,3
569,31,4,AGE+GENDER,6.765,0,1,0,1,1,1,3
570,31,10,GENDER,2.848,1,1,0,1,1,1,3
571,31,15,GENDER,6.082,1,1,0,1,1,1,3
572,31,12,AGE+GENDER,2.715,1,1,0,1,1,1,3
573,31,7,AGE+GENDER,2.648,0,1,0,1,1,1,3
574,31,2,AGE+GENDER,3.947,1,1,0,1,1,1,3
575,32,12,AGE+GENDER,10.231,1,1,1,1,1,0,0
576,32,9,AGE+GENDER,4.248,1,1,1,1,1,0,0
577,32,15,GENDER,3.231,0,1,1,1,1,0,0
578,32,7,AGE+GENDER,5.998,1,1,1,1,1,0,0
579,32,1,GENDER,3.215,1,1,1,1,1,0,0
580,32,13,AGE+GENDER,4.714,1,1,1,1,1,0,0
581,32,4,AGE+GENDER,4.248,0,1,1,1,1,0,0
582,32,14,AGE+GENDER,3.298,0,1,1,1,1,0,0
583,32,10,GENDER,5.148,1,1,1,1,1,0,0
584,32,2,AGE+GENDER,11.465,0,1,1,1,1,0,0
585,32,9,AGE+GENDER,2.298,1,1,1,1,1,0,0
586,32,1,GENDER,4.798,1,1,1,1,1,0,0
587,32,4,AGE+GENDER,3.064,0,1,1,1,1,0,0
588,32,12,AGE+GENDER,4.731,1,1,1,1,1,0,0
589,32,2,AGE+GENDER,6.764,0,1,1,1,1,0,0
590,32,15,GENDER,4.614,1,1,1,1,1,0,0
591,32,10,GENDER,5.147,1,1,1,1,1,0,0
592,32,13,AGE+GENDER,3.53,0,1,1,1,1,0,0
593,32,7,AGE+GENDER,3.063,1,1,1,1,1,0,0
594,33,14,AGE+GENDER,5.099,0,1,0,1,1,1,0
595,33,13,AGE+GENDER,3.18,0,1,0,1,1,1,0
596,33,15,GENDER,2.831,1,1,0,1,1,1,0
597,33,4,AGE+GENDER,2.547,0,1,0,1,1,1,0
598,33,12,AGE+GENDER,4.198,1,1,0,1,1,1,0
599,33,1,GENDER,3.915,1,1,0,1,1,1,0
600,33,9,AGE+GENDER,3.714,0,1,0,1,1,1,0
601,33,7,AGE+GENDER,3.648,0,1,0,1,1,1,0
602,33,10,GENDER,5.515,1,1,0,1,1,1,0
603,33,1,GENDER,4.097,0,1,0,1,1,1,0
604,33,2,AGE+GENDER,3.131,1,1,0,1,1,1,0
605,33,13,AGE+GENDER,2.331,0,1,0,1,1,1,0
606,33,14,AGE+GENDER,3.03,0,1,0,1,1,1,0
607,33,4,AGE+GENDER,3.432,0,1,0,1,1,1,0
608,33,12,AGE+GENDER,4.764,0,1,0,1,1,1,0
609,33,9,AGE+GENDER,3.079,0,1,0,1,1,1,0
610,33,10,GENDER,5.631,0,1,0,1,1,1,0
611,33,7,AGE+GENDER,4.447,0,1,0,1,1,1,0
612,33,15,GENDER,3.548,0,1,0,1,1,1,0
613,34,9,AGE+GENDER,6.165,1,1,1,1,1,0,3
614,34,13,AGE+GENDER,7.632,1,1,1,1,1,0,3
615,34,7,AGE+GENDER,3.08,1,1,1,1,1,0,3
616,34,10,GENDER,9.648,1,1,1,1,1,0,3
617,34,15,GENDER,9.881,1,1,1,1,1,0,3
618,34,4,AGE+GENDER,14.131,0,1,1,1,1,0,3
619,34,12,AGE+GENDER,7.715,0,1,1,1,1,0,3
620,34,1,GENDER,4.047,1,1,1,1,1,0,3
621,34,2,AGE+GENDER,4.665,0,1,1,1,1,0,3
622,34,9,AGE+GENDER,9.998,1,1,1,1,1,0,3
623,34,7,AGE+GENDER,5.464,1,1,1,1,1,0,3
624,34,12,AGE+GENDER,3.431,0,1,1,1,1,0,3
625,34,15,GENDER,3.464,1,1,1,1,1,0,3
626,34,14,AGE+GENDER,7.997,0,1,1,1,1,0,3
627,34,13,AGE+GENDER,2.798,1,1,1,1,1,0,3
628,34,10,GENDER,9.531,1,1,1,1,1,0,3
629,34,2,AGE+GENDER,4.197,0,1,1,1,1,0,3
630,34,1,GENDER,9.397,1,1,1,1,1,0,3
631,34,4,AGE+GENDER,5.297,0,1,1,1,1,0,3
632,35,13,AGE+GENDER,13.082,0,1,1,1,1,1,3
633,35,2,AGE+GENDER,5.881,1,1,1,1,1,1,3
634,35,14,AGE+GENDER,9.348,0,1,1,1,1,1,3
635,35,9,AGE+GENDER,3.349,1,1,1,1,1,1,3
636,35,7,AGE+GENDER,6.747,0,1,1,1,1,1,3
637,35,10,GENDER,2.947,1,1,1,1,1,1,3
638,35,12,AGE+GENDER,2.764,1,1,1,1,1,1,3
639,35,1,GENDER,8.115,0,1,1,1,1,1,3
640,35,4,AGE+GENDER,3.148,0,1,1,1,1,1,3
641,35,15,GENDER,7.198,1,1,1,1,1,1,3
642,35,4,AGE+GENDER,5.164,0,1,1,1,1,1,3
643,35,13,AGE+GENDER,3.98,0,1,1,1,1,1,3
644,35,2,AGE+GENDER,2.815,1,1,1,1,1,1,3
645,35,7,AGE+GENDER,2.847,0,1,1,1,1,1,3
646,35,10,GENDER,4.564,1,1,1,1,1,1,3
647,35,12,AGE+GENDER,2.597,1,1,1,1,1,1,3
648,35,9,AGE+GENDER,14.18,1,1,1,1,1,1,3
649,35,15,GENDER,11.914,0,1,1,1,1,1,3
650,35,14,AGE+GENDER,4.647,0,1,1,1,1,1,3
651,35,1,GENDER,4.346,1,1,1,1,1,1,3
652,36,13,AGE+GENDER,2.447,0,1,0,1,1,1,2
653,36,12,AGE+GENDER,4.748,1,1,0,1,1,1,2
654,36,4,AGE+GENDER,6.782,1,1,0,1,1,1,2
655,36,14,AGE+GENDER,4.049,0,1,0,1,1,1,2
656,36,2,AGE+GENDER,3.381,1,1,0,1,1,1,2
657,36,10,GENDER,9.815,0,1,0,1,1,1,2
658,36,7,AGE+GENDER,3.282,1,1,0,1,1,1,2
659,36,9,AGE+GENDER,5.765,1,1,0,1,1,1,2
660,36,1,GENDER,3.665,1,1,0,1,1,1,2
661,36,15,GENDER,3.565,1,1,0,1,1,1,2
662,36,4,AGE+GENDER,3.948,0,1,0,1,1,1,2
663,36,7,AGE+GENDER,9.331,1,1,0,1,1,1,2
664,36,2,AGE+GENDER,5.181,1,1,0,1,1,1,2
665,36,15,GENDER,5.831,1,1,0,1,1,1,2
666,36,10,GENDER,2.615,1,1,0,1,1,1,2
667,36,14,AGE+GENDER,6.796,0,1,0,1,1,1,2
668,36,12,AGE+GENDER,4.064,1,1,0,1,1,1,2
669,36,1,GENDER,10.163,0,1,0,1,1,1,2
670,36,13,AGE+GENDER,9.314,1,1,0,1,1,1,2
671,36,9,AGE+GENDER,7.081,0,1,0,1,1,1,2
672,37,14,AGE+GENDER,6.114,0,1,0,1,1,1,1
673,37,10,GENDER,4.881,1,1,0,1,1,1,1
674,37,7,AGE+GENDER,6.014,1,1,0,1,1,1,1
675,37,12,AGE+GENDER,6.665,0,1,0,1,1,1,1
676,37,13,AGE+GENDER,3.614,1,1,0,1,1,1,1
677,37,9,AGE+GENDER,2.431,1,1,0,1,1,1,1
678,37,15,GENDER,3.032,1,1,0,1,1,1,1
679,37,4,AGE+GENDER,3.582,0,1,0,1,1,1,1
680,37,2,AGE+GENDER,5.964,0,1,0,1,1,1,1
681,37,1,GENDER,2.348,1,1,0,1,1,1,1
682,37,10,GENDER,6.732,1,1,0,1,1,1,1
683,37,13,AGE+GENDER,10.314,1,1,0,1,1,1,1
684,37,9,AGE+GENDER,1.531,1,1,0,1,1,1,1
685,37,14,AGE+GENDER,11.215,0,1,0,1,1,1,1
686,37,12,AGE+GENDER,5.748,1,1,0,1,1,1,1
687,37,2,AGE+GENDER,3.797,0,1,0,1,1,1,1
688,37,4,AGE+GENDER,2.397,0,1,0,1,1,1,1
689,37,1,GENDER,2.329,1,1,0,1,1,1,1
690,37,15,GENDER,4.146,1,1,0,1,1,1,1
691,37,7,AGE+GENDER,2.947,1,1,0,1,1,1,1
692,38,15,GENDER,8.198,0,1,0,1,1,1,2
693,38,1,GENDER,13.964,0,1,0,1,1,1,2
694,38,14,AGE+GENDER,4.398,0,1,0,1,1,1,2
695,38,4,AGE+GENDER,2.981,0,1,0,1,1,1,2
696,38,13,AGE+GENDER,2.931,1,1,0,1,1,1,2
697,38,2,AGE+GENDER,4.265,1,1,0,1,1,1,2
698,38,7,AGE+GENDER,4.498,1,1,0,1,1,1,2
699,38,10,GENDER,4.081,1,1,0,1,1,1,2
700,38,9,AGE+GENDER,4.146,0,1,0,1,1,1,2
701,38,12,AGE+GENDER,6.08,0,1,0,1,1,1,2
702,38,9,AGE+GENDER,3.447,0,1,0,1,1,1,2
703,38,13,AGE+GENDER,2.415,0,1,0,1,1,1,2
704,38,15,GENDER,2.213,0,1,0,1,1,1,2
705,38,12,AGE+GENDER,1.614,0,1,0,1,1,1,2
706,38,1,GENDER,2.931,0,1,0,1,1,1,2
707,38,14,AGE+GENDER,2.314,0,1,0,1,1,1,2
708,38,10,GENDER,2.731,0,1,0,1,1,1,2
709,38,4,AGE+GENDER,2.997,0,1,0,1,1,1,2
710,38,7,AGE+GENDER,1.847,1,1,0,1,1,1,2
711,38,2,AGE+GENDER,2.565,1,1,0,1,1,1,2
712,39,13,AGE+GENDER,8.565,1,1,1,1,1,1,3
713,39,7,AGE+GENDER,5.615,0,1,1,1,1,1,3
714,39,15,GENDER,5.481,1,1,1,1,1,1,3
715,39,12,AGE+GENDER,6.748,0,1,1,1,1,1,3
716,39,14,AGE+GENDER,7.231,0,1,1,1,1,1,3
717,39,9,AGE+GENDER,8.298,0,1,1,1,1,1,3
718,39,1,GENDER,3.897,1,1,1,1,1,1,3
719,39,10,GENDER,5.414,1,1,1,1,1,1,3
720,39,2,AGE+GENDER,2.397,1,1,1,1,1,1,3
721,39,4,AGE+GENDER,4.931,0,1,1,1,1,1,3
722,39,14,AGE+GENDER,4.864,0,1,1,1,1,1,3
723,39,10,GENDER,6.014,0,1,1,1,1,1,3
724,39,15,GENDER,3.131,0,1,1,1,1,1,3
725,39,4,AGE+GENDER,2.665,0,1,1,1,1,1,3
726,39,1,GENDER,3.679,0,1,1,1,1,1,3
727,39,9,AGE+GENDER,2.262,0,1,1,1,1,1,3
728,39,7,AGE+GENDER,2.88,0,1,1,1,1,1,3
729,39,12,AGE+GENDER,6.83,0,1,1,1,1,1,3
730,39,13,AGE+GENDER,6.28,0,1,1,1,1,1,3
731,39,2,AGE+GENDER,4.712,0,1,1,1,1,1,3
732,40,13,AGE+GENDER,4.498,1,1,1,1,1,0,0
733,40,14,AGE+GENDER,5.531,0,1,1,1,1,0,0
734,40,2,AGE+GENDER,3.581,0,1,1,1,1,0,0
735,40,12,AGE+GENDER,4.464,0,1,1,1,1,0,0
736,40,7,AGE+GENDER,2.648,1,1,1,1,1,0,0
737,40,9,AGE+GENDER,2.248,1,1,1,1,1,0,0
738,40,10,GENDER,4.081,1,1,1,1,1,0,0
739,40,1,GENDER,2.496,1,1,1,1,1,0,0
740,40,4,AGE+GENDER,3.598,0,1,1,1,1,0,0
741,40,15,GENDER,9.747,1,1,1,1,1,0,0
742,40,12,AGE+GENDER,2.681,0,1,1,1,1,0,0
743,40,9,AGE+GENDER,1.831,1,1,1,1,1,0,0
744,40,10,GENDER,4.797,1,1,1,1,1,0,0
745,40,4,AGE+GENDER,6.247,0,1,1,1,1,0,0
746,40,15,GENDER,5.38,1,1,1,1,1,0,0
747,40,14,AGE+GENDER,1.913,0,1,1,1,1,0,0
748,40,7,AGE+GENDER,2.814,1,1,1,1,1,0,0
749,40,13,AGE+GENDER,3.163,1,1,1,1,1,0,0
750,40,1,GENDER,1.78,1,1,1,1,1,0,0
751,40,2,AGE+GENDER,2.664,0,1,1,1,1,0,0
