,s,Senario ID,Senario type,RT1,R,sex,age,theta,beta,alpha
524,35,4,AGE+GENDER,3.318,1,1,1,1,1,1
525,35,7,AGE+GENDER,2.639,1,1,1,1,1,1
526,35,12,AGE+GENDER,4.39,0,1,1,1,1,1
527,35,2,AGE+GENDER,2.386,0,1,1,1,1,1
528,35,1,GENDER,2.345,0,1,1,1,1,1
529,35,14,AGE+GENDER,1.973,1,1,1,1,1,1
530,35,13,AGE+GENDER,1.855,1,1,1,1,1,1
531,35,10,GENDER,2.623,0,1,1,1,1,1
532,35,15,GENDER,3.322,0,1,1,1,1,1
533,35,9,AGE+GENDER,2.44,0,1,1,1,1,1
534,36,14,AGE+GENDER,4.623,1,1,0,0,0,1
535,36,10,GENDER,6.49,1,1,0,0,0,1
536,36,4,AGE+GENDER,3.649,1,1,0,0,0,1
537,36,9,AGE+GENDER,3.585,0,1,0,0,0,1
538,36,15,GENDER,5.287,0,1,0,0,0,1
539,36,4,AGE+GENDER,3.954,1,1,0,0,0,1
540,36,13,AGE+GENDER,5.423,0,1,0,0,0,1
541,36,12,AGE+GENDER,6.79,0,1,0,0,0,1
542,36,14,AGE+GENDER,5.339,1,1,0,0,0,1
543,36,9,AGE+GENDER,5.606,0,1,0,0,0,1
544,36,7,AGE+GENDER,7.457,0,1,0,0,0,1
545,36,1,GENDER,4.761,0,1,0,0,0,1
546,37,7,AGE+GENDER,6.639,0,1,0,1,1,1
547,37,4,AGE+GENDER,3.416,0,1,0,1,1,1
548,37,9,AGE+GENDER,2.151,0,1,0,1,1,1
549,37,13,AGE+GENDER,3.373,0,1,0,1,1,1
550,37,15,GENDER,4.04,0,1,0,1,1,1
551,37,2,AGE+GENDER,3.906,1,1,0,1,1,1
552,37,14,AGE+GENDER,2.223,1,1,0,1,1,1
553,37,12,AGE+GENDER,4.023,1,1,0,1,1,1
554,37,1,GENDER,3.274,0,1,0,1,1,1
555,37,10,GENDER,2.239,0,1,0,1,1,1
556,37,2,AGE+GENDER,3.703,1,1,0,1,1,1
557,37,14,AGE+GENDER,2.007,1,1,0,1,1,1
558,37,9,AGE+GENDER,2.573,0,1,0,1,1,1
559,37,7,AGE+GENDER,2.623,0,1,0,1,1,1
560,37,10,GENDER,2.139,0,1,0,1,1,1
561,37,15,GENDER,2.123,0,1,0,1,1,1
562,37,4,AGE+GENDER,2.834,1,1,0,1,1,1
563,37,12,AGE+GENDER,4.973,1,1,0,1,1,1
564,37,1,GENDER,1.079,0,1,0,1,1,1
565,37,13,AGE+GENDER,1.356,0,1,0,1,1,1
566,38,13,AGE+GENDER,6.906,0,1,0,1,1,1
567,38,2,AGE+GENDER,7.457,1,1,0,1,1,1
568,38,4,AGE+GENDER,3.716,1,1,0,1,1,1
569,38,14,AGE+GENDER,3.59,1,1,0,1,1,1
570,38,1,GENDER,4.141,0,1,0,1,1,1
571,38,9,AGE+GENDER,3.084,0,1,0,1,1,1
572,38,12,AGE+GENDER,6.923,0,1,0,1,1,1
573,38,10,GENDER,6.44,1,1,0,1,1,1
574,38,13,AGE+GENDER,5.89,0,1,0,1,1,1
575,38,14,AGE+GENDER,5.772,1,1,0,1,1,1
576,38,7,AGE+GENDER,7.472,0,1,0,1,1,1
577,38,4,AGE+GENDER,3.702,1,1,0,1,1,1
578,38,1,GENDER,5.095,0,1,0,1,1,1
579,39,1,GENDER,3.291,0,1,1,1,1,1
580,39,2,AGE+GENDER,3.755,0,1,1,1,1,1
581,39,7,AGE+GENDER,5.256,1,1,1,1,1,1
582,39,15,GENDER,4.138,1,1,1,1,1,1
583,39,10,GENDER,4.523,1,1,1,1,1,1
584,39,13,AGE+GENDER,5.157,1,1,1,1,1,1
585,39,14,AGE+GENDER,4.674,1,1,1,1,1,1
586,39,12,AGE+GENDER,6.691,1,1,1,1,1,1
587,39,4,AGE+GENDER,2.516,1,1,1,1,1,1
588,39,9,AGE+GENDER,2.252,0,1,1,1,1,1
589,39,4,AGE+GENDER,2.204,1,1,1,1,1,1
590,39,1,GENDER,3.682,0,1,1,1,1,1
591,39,2,AGE+GENDER,3.723,0,1,1,1,1,1
592,39,10,GENDER,4.239,1,1,1,1,1,1
593,39,7,AGE+GENDER,5.406,1,1,1,1,1,1
594,39,14,AGE+GENDER,3.774,1,1,1,1,1,1
595,39,12,AGE+GENDER,5.239,0,1,1,1,1,1
596,39,15,GENDER,3.457,1,1,1,1,1,1
597,39,13,AGE+GENDER,3.739,0,1,1,1,1,1
598,39,9,AGE+GENDER,4.423,0,1,1,1,1,1
599,40,10,GENDER,4.655,0,1,1,1,1,0
600,40,1,GENDER,2.341,0,1,1,1,1,0
601,40,12,AGE+GENDER,6.322,1,1,1,1,1,0
602,40,9,AGE+GENDER,2.167,0,1,1,1,1,0
603,40,13,AGE+GENDER,4.24,0,1,1,1,1,0
604,40,7,AGE+GENDER,4.005,0,1,1,1,1,0
605,40,10,GENDER,3.44,0,1,1,1,1,0
