,s,senario,Senario type,RT1,R,sex,age,theta,beta,alpha,beta_s
134,9,14,AGE+GENDER,5.17,0,1,0,0,0,0,2
135,9,4,AGE+GENDER,1.452,0,1,0,0,0,0,2
136,9,12,AGE+GENDER,4.039,1,1,0,0,0,0,2
137,9,7,AGE+GENDER,3.762,0,1,0,0,0,0,2
138,9,13,AGE+GENDER,2.54,0,1,0,0,0,0,2
139,9,15,GENDER,3.282,1,1,0,0,0,0,2
140,9,10,GENDER,5.257,1,1,0,0,0,0,2
141,10,1,GENDER,4.323,1,0,1,1,1,1,2
142,10,14,AGE+GENDER,5.82,0,0,1,1,1,1,2
143,10,7,AGE+GENDER,4.781,1,0,1,1,1,1,2
144,10,13,AGE+GENDER,3.392,1,0,1,1,1,1,2
145,10,14,AGE+GENDER,2.369,0,0,1,1,1,1,2
146,10,12,AGE+GENDER,4.343,1,0,1,1,1,1,2
147,10,10,GENDER,5.057,1,0,1,1,1,1,2
148,11,9,AGE+GENDER,2.931,1,1,0,0,0,1,0
149,11,13,AGE+GENDER,3.442,0,1,0,0,0,1,0
150,11,1,GENDER,1.722,1,1,0,0,0,1,0
151,11,4,AGE+GENDER,2.623,0,1,0,0,0,1,0
152,11,10,GENDER,3.173,1,1,0,0,0,1,0
153,11,12,AGE+GENDER,0.973,1,1,0,0,0,1,0
154,11,14,AGE+GENDER,4.52,0,1,0,0,0,1,0
155,11,2,AGE+GENDER,3.096,1,1,0,0,0,1,0
156,11,7,AGE+GENDER,2.097,0,1,0,0,0,1,0
157,11,15,GENDER,2.932,1,1,0,0,0,1,0
158,11,2,AGE+GENDER,2.91,1,1,0,0,0,1,0
159,11,10,GENDER,2.823,1,1,0,0,0,1,0
160,11,7,AGE+GENDER,2.463,0,1,0,0,0,1,0
161,11,4,AGE+GENDER,3.035,0,1,0,0,0,1,0
162,11,13,AGE+GENDER,1.44,0,1,0,0,0,1,0
163,11,9,AGE+GENDER,2.464,1,1,0,0,0,1,0
164,11,14,AGE+GENDER,3.203,0,1,0,0,0,1,0
165,11,15,GENDER,2.846,1,1,0,0,0,1,0
166,11,12,AGE+GENDER,0.806,1,1,0,0,0,1,0
167,11,1,GENDER,2.385,1,1,0,0,0,1,0
168,12,13,AGE+GENDER,5.691,1,1,0,1,1,1,3
169,12,7,AGE+GENDER,2.246,1,1,0,1,1,1,3
170,12,15,GENDER,3.415,1,1,0,1,1,1,3
171,12,2,AGE+GENDER,2.614,0,1,0,1,1,1,3
172,12,14,AGE+GENDER,2.836,0,1,0,1,1,1,3
173,12,1,GENDER,2.323,1,1,0,1,1,1,3
174,12,12,AGE+GENDER,0.49,0,1,0,1,1,1,3
175,12,9,AGE+GENDER,2.714,1,1,0,1,1,1,3
176,12,10,GENDER,5.74,1,1,0,1,1,1,3
177,12,2,AGE+GENDER,2.829,0,1,0,1,1,1,3
178,12,14,AGE+GENDER,4.969,0,1,0,1,1,1,3
179,12,10,GENDER,5.023,1,1,0,1,1,1,3
180,12,1,GENDER,1.853,1,1,0,1,1,1,3
181,12,15,GENDER,3.115,1,1,0,1,1,1,3
182,12,12,AGE+GENDER,2.757,0,1,0,1,1,1,3
183,12,7,AGE+GENDER,1.979,1,1,0,1,1,1,3
184,12,13,AGE+GENDER,2.358,1,1,0,1,1,1,3
185,12,4,AGE+GENDER,3.253,1,1,0,1,1,1,3
186,12,9,AGE+GENDER,1.08,1,1,0,1,1,1,3
187,13,9,AGE+GENDER,3.665,0,1,1,0,0,1,3
188,13,12,AGE+GENDER,3.523,0,1,1,0,0,1,3
189,13,1,GENDER,3.373,0,1,1,0,0,1,3
190,13,7,AGE+GENDER,4.146,0,1,1,0,0,1,3
191,13,7,AGE+GENDER,1.262,0,1,1,0,0,1,3
192,13,13,AGE+GENDER,4.991,0,1,1,0,0,1,3
193,13,1,GENDER,3.386,0,1,1,0,0,1,3
194,13,2,AGE+GENDER,5.547,0,1,1,0,0,1,3
195,13,4,AGE+GENDER,3.124,1,1,1,0,0,1,3
196,13,9,AGE+GENDER,4.132,0,1,1,0,0,1,3
197,14,12,AGE+GENDER,3.107,1,1,0,0,0,0,0
198,14,14,AGE+GENDER,3.97,0,1,0,0,0,0,0
199,14,2,AGE+GENDER,2.881,1,1,0,0,0,0,0
200,14,1,GENDER,1.725,1,1,0,0,0,0,0
201,14,13,AGE+GENDER,3.856,0,1,0,0,0,0,0
202,14,7,AGE+GENDER,4.695,1,1,0,0,0,0,0
203,14,4,AGE+GENDER,0.985,1,1,0,0,0,0,0
204,14,2,AGE+GENDER,4.598,1,1,0,0,0,0,0
205,14,12,AGE+GENDER,1.489,1,1,0,0,0,0,0
206,14,9,AGE+GENDER,2.629,0,1,0,0,0,0,0
207,14,15,GENDER,2.699,1,1,0,0,0,0,0
208,14,10,GENDER,5.207,1,1,0,0,0,0,0
209,15,9,AGE+GENDER,2.797,1,1,0,1,1,0,3
210,15,13,AGE+GENDER,4.741,1,1,0,1,1,0,3
211,15,12,AGE+GENDER,3.306,0,1,0,1,1,0,3
212,15,4,AGE+GENDER,2.573,1,1,0,1,1,0,3
213,15,7,AGE+GENDER,3.63,1,1,0,1,1,0,3
214,15,2,AGE+GENDER,3.264,0,1,0,1,1,0,3
215,15,14,AGE+GENDER,4.769,0,1,0,1,1,0,3
216,15,15,GENDER,3.064,1,1,0,1,1,0,3
217,15,1,GENDER,4.105,1,1,0,1,1,0,3
218,15,9,AGE+GENDER,2.365,1,1,0,1,1,0,3
219,15,13,AGE+GENDER,4.923,0,1,0,1,1,0,3
220,15,2,AGE+GENDER,2.943,0,1,0,1,1,0,3
221,15,10,GENDER,4.038,1,1,0,1,1,0,3
222,15,4,AGE+GENDER,2.734,0,1,0,1,1,0,3
223,15,7,AGE+GENDER,2.912,1,1,0,1,1,0,3
224,15,12,AGE+GENDER,3.622,1,1,0,1,1,0,3
225,15,15,GENDER,3.631,1,1,0,1,1,0,3
226,16,2,AGE+GENDER,5.047,1,1,0,1,1,0,1
227,16,12,AGE+GENDER,2.438,1,1,0,1,1,0,1
228,16,9,AGE+GENDER,4.264,1,1,0,1,1,0,1
229,16,4,AGE+GENDER,2.572,0,1,0,1,1,0,1
230,16,1,GENDER,4.072,0,1,0,1,1,0,1
231,16,15,GENDER,2.065,1,1,0,1,1,0,1
232,16,7,AGE+GENDER,4.045,1,1,0,1,1,0,1
233,16,14,AGE+GENDER,5.101,0,1,0,1,1,0,1
234,16,2,AGE+GENDER,4.76,0,1,0,1,1,0,1
235,16,12,AGE+GENDER,0.355,1,1,0,1,1,0,1
236,16,15,GENDER,5.431,1,1,0,1,1,0,1
237,16,1,GENDER,2.089,1,1,0,1,1,0,1
238,16,7,AGE+GENDER,4.162,1,1,0,1,1,0,1
239,16,13,AGE+GENDER,4.691,0,1,0,1,1,0,1
240,16,9,AGE+GENDER,1.93,1,1,0,1,1,0,1
241,16,4,AGE+GENDER,2.935,0,1,0,1,1,0,1
242,16,10,GENDER,3.838,1,1,0,1,1,0,1
243,16,14,AGE+GENDER,5.535,0,1,0,1,1,0,1
244,17,2,AGE+GENDER,2.815,1,0,1,0,0,0,2
245,17,15,GENDER,3.298,1,0,1,0,0,0,2
246,17,1,GENDER,1.89,1,0,1,0,0,0,2
247,17,10,GENDER,2.523,1,0,1,0,0,0,2
248,17,7,AGE+GENDER,0.796,0,0,1,0,0,0,2
249,17,14,AGE+GENDER,2.253,0,0,1,0,0,0,2
250,17,13,AGE+GENDER,2.72,0,0,1,0,0,0,2
251,17,12,AGE+GENDER,1.624,1,0,1,0,0,0,2
252,17,4,AGE+GENDER,1.205,0,0,1,0,0,0,2
253,17,7,AGE+GENDER,1.729,0,0,1,0,0,0,2
254,17,12,AGE+GENDER,1.59,1,0,1,0,0,0,2
255,17,2,AGE+GENDER,1.098,1,0,1,0,0,0,2
256,17,1,GENDER,1.124,1,0,1,0,0,0,2
257,17,9,AGE+GENDER,1.032,1,0,1,0,0,0,2
258,17,10,GENDER,2.857,1,0,1,0,0,0,2
259,17,13,AGE+GENDER,1.491,0,0,1,0,0,0,2
260,17,14,AGE+GENDER,2.353,0,0,1,0,0,0,2
261,18,1,GENDER,4.723,1,0,0,1,1,0,2
262,18,15,GENDER,5.382,0,0,0,1,1,0,2
263,18,7,AGE+GENDER,4.847,0,0,0,1,1,0,2
264,18,14,AGE+GENDER,5.737,0,0,0,1,1,0,2
265,18,9,AGE+GENDER,4.398,1,0,0,1,1,0,2
266,18,4,AGE+GENDER,3.584,1,0,0,1,1,0,2
267,18,2,AGE+GENDER,5.065,0,0,0,1,1,0,2
268,18,12,AGE+GENDER,4.306,0,0,0,1,1,0,2
269,18,13,AGE+GENDER,5.006,0,0,0,1,1,0,2
270,18,15,GENDER,5.735,1,0,0,1,1,0,2
271,18,14,AGE+GENDER,5.97,0,0,0,1,1,0,2
272,18,2,AGE+GENDER,5.579,1,0,0,1,1,0,2
273,18,12,AGE+GENDER,4.007,1,0,0,1,1,0,2
274,18,1,GENDER,4.759,1,0,0,1,1,0,2
275,18,7,AGE+GENDER,3.18,1,0,0,1,1,0,2
276,19,14,AGE+GENDER,4.683,0,0,1,1,1,0,2
277,19,2,AGE+GENDER,3.664,0,0,1,1,1,0,2
278,19,4,AGE+GENDER,2.39,1,0,1,1,1,0,2
279,19,12,AGE+GENDER,2.441,1,0,1,1,1,0,2
280,19,13,AGE+GENDER,4.675,1,0,1,1,1,0,2
281,19,1,GENDER,1.574,0,0,1,1,1,0,2
282,19,9,AGE+GENDER,2.282,0,0,1,1,1,0,2
283,19,15,GENDER,1.547,0,0,1,1,1,0,2
284,19,10,GENDER,3.507,1,0,1,1,1,0,2
285,19,7,AGE+GENDER,1.646,0,0,1,1,1,0,2
286,19,4,AGE+GENDER,0.823,0,0,1,1,1,0,2
287,19,9,AGE+GENDER,0.948,0,0,1,1,1,0,2
288,19,14,AGE+GENDER,3.104,0,0,1,1,1,0,2
289,19,2,AGE+GENDER,2.577,0,0,1,1,1,0,2
290,19,12,AGE+GENDER,0.555,1,0,1,1,1,0,2
291,19,13,AGE+GENDER,1.575,1,0,1,1,1,0,2
292,19,7,AGE+GENDER,1.229,0,0,1,1,1,0,2
293,19,10,GENDER,2.756,0,0,1,1,1,0,2
294,19,15,GENDER,1.731,0,0,1,1,1,0,2
295,19,1,GENDER,1.319,0,0,1,1,1,0,2
296,20,14,AGE+GENDER,5.735,0,0,1,1,1,0,1
297,20,12,AGE+GENDER,3.406,1,0,1,1,1,0,1
298,20,4,AGE+GENDER,3.257,1,0,1,1,1,0,1
299,20,15,GENDER,4.33,0,0,1,1,1,0,1
300,20,1,GENDER,4.358,0,0,1,1,1,0,1
301,20,7,AGE+GENDER,4.447,0,0,1,1,1,0,1
302,20,2,AGE+GENDER,4.581,1,0,1,1,1,0,1
303,20,9,AGE+GENDER,4.115,0,0,1,1,1,0,1
304,20,1,GENDER,4.022,0,0,1,1,1,0,1
305,20,15,GENDER,4.813,0,0,1,1,1,0,1
306,20,14,AGE+GENDER,5.37,0,0,1,1,1,0,1
307,20,4,AGE+GENDER,3.035,1,0,1,1,1,0,1
308,20,2,AGE+GENDER,5.076,1,0,1,1,1,0,1
309,20,7,AGE+GENDER,4.446,0,0,1,1,1,0,1
310,20,9,AGE+GENDER,3.914,0,0,1,1,1,0,1
311,20,13,AGE+GENDER,4.892,0,0,1,1,1,0,1
312,20,12,AGE+GENDER,3.907,1,0,1,1,1,0,1
313,21,4,AGE+GENDER,3.546,0,0,0,1,1,0,0
314,21,9,AGE+GENDER,3.674,1,0,0,1,1,0,0
315,21,12,AGE+GENDER,3.723,1,0,0,1,1,0,0
316,21,7,AGE+GENDER,1.13,0,0,0,1,1,0,0
317,21,10,GENDER,6.073,1,0,0,1,1,0,0
318,21,9,AGE+GENDER,1.945,1,0,0,1,1,0,0
319,21,1,GENDER,4.59,1,0,0,1,1,0,0
320,21,15,GENDER,5.065,1,0,0,1,1,0,0
321,21,2,AGE+GENDER,0.961,1,0,0,1,1,0,0
322,22,9,AGE+GENDER,3.229,1,0,1,0,0,1,1
323,22,15,GENDER,3.832,1,0,1,0,0,1,1
324,22,1,GENDER,3.457,0,0,1,0,0,1,1
325,22,7,AGE+GENDER,4.927,0,0,1,0,0,1,1
326,22,4,AGE+GENDER,1.539,0,0,1,0,0,1,1
327,22,2,AGE+GENDER,4.864,1,0,1,0,0,1,1
328,22,13,AGE+GENDER,5.04,0,0,1,0,0,1,1
329,22,7,AGE+GENDER,0.796,0,0,1,0,0,1,1
330,22,12,AGE+GENDER,0.522,1,0,1,0,0,1,1
331,22,14,AGE+GENDER,5.57,0,0,1,0,0,1,1
332,23,13,AGE+GENDER,4.241,0,0,1,0,0,1,1
333,23,7,AGE+GENDER,2.662,0,0,1,0,0,1,1
334,23,12,AGE+GENDER,0.939,1,0,1,0,0,1,1
335,23,14,AGE+GENDER,3.403,0,0,1,0,0,1,1
336,23,7,AGE+GENDER,1.497,0,0,1,0,0,1,1
337,23,12,AGE+GENDER,1.99,1,0,1,0,0,1,1
338,24,12,AGE+GENDER,3.222,1,0,1,1,1,0,0
339,24,2,AGE+GENDER,0.966,1,0,1,1,1,0,0
340,24,14,AGE+GENDER,3.27,0,0,1,1,1,0,0
341,24,15,GENDER,3.833,1,0,1,1,1,0,0
342,24,1,GENDER,1.923,1,0,1,1,1,0,0
343,24,13,AGE+GENDER,2.991,0,0,1,1,1,0,0
344,24,9,AGE+GENDER,0.564,1,0,1,1,1,0,0
345,24,1,GENDER,1.869,1,0,1,1,1,0,0
346,24,7,AGE+GENDER,1.897,0,0,1,1,1,0,0
347,24,2,AGE+GENDER,1.712,1,0,1,1,1,0,0
348,25,9,AGE+GENDER,4.095,1,0,1,0,0,0,1
349,25,2,AGE+GENDER,4.114,1,0,1,0,0,0,1
350,25,13,AGE+GENDER,4.408,0,0,1,0,0,0,1
351,25,14,AGE+GENDER,5.136,0,0,1,0,0,0,1
352,25,12,AGE+GENDER,2.74,1,0,1,0,0,0,1
353,25,14,AGE+GENDER,5.019,0,0,1,0,0,0,1
354,25,12,AGE+GENDER,2.39,1,0,1,0,0,0,1
355,25,9,AGE+GENDER,3.798,1,0,1,0,0,0,1
356,25,4,AGE+GENDER,2.42,1,0,1,0,0,0,1
357,26,12,AGE+GENDER,2.457,0,0,1,1,1,1,3
358,26,15,GENDER,4.53,0,0,1,1,1,1,3
359,26,7,AGE+GENDER,2.98,1,0,1,1,1,1,3
360,26,13,AGE+GENDER,6.008,1,0,1,1,1,1,3
361,26,4,AGE+GENDER,1.539,0,0,1,1,1,1,3
362,26,13,AGE+GENDER,3.124,1,0,1,1,1,1,3
363,26,2,AGE+GENDER,2.41,0,0,1,1,1,1,3
364,26,9,AGE+GENDER,1.864,1,0,1,1,1,1,3
365,26,12,AGE+GENDER,2.189,0,0,1,1,1,1,3
366,26,1,GENDER,1.903,1,0,1,1,1,1,3
367,26,7,AGE+GENDER,2.247,1,0,1,1,1,1,3
368,26,10,GENDER,3.005,1,0,1,1,1,1,3
369,26,14,AGE+GENDER,2.903,0,0,1,1,1,1,3
370,26,4,AGE+GENDER,1.286,0,0,1,1,1,1,3
371,27,13,AGE+GENDER,5.218,0,0,1,0,0,0,0
372,27,12,AGE+GENDER,1.556,1,0,1,0,0,0,0
373,27,15,GENDER,3.282,1,0,1,0,0,0,0
374,27,10,GENDER,4.491,1,0,1,0,0,0,0
375,27,7,AGE+GENDER,1.58,0,0,1,0,0,0,0
376,27,2,AGE+GENDER,0.365,1,0,1,0,0,0,0
377,27,1,GENDER,1.556,1,0,1,0,0,0,0
378,27,4,AGE+GENDER,1.94,0,0,1,0,0,0,0
379,27,14,AGE+GENDER,4.269,0,0,1,0,0,0,0
380,27,7,AGE+GENDER,0.363,0,0,1,0,0,0,0
381,27,13,AGE+GENDER,1.724,0,0,1,0,0,0,0
382,27,1,GENDER,3.102,1,0,1,0,0,0,0
383,27,4,AGE+GENDER,1.556,0,0,1,0,0,0,0
384,27,2,AGE+GENDER,2.545,1,0,1,0,0,0,0
385,27,10,GENDER,3.872,1,0,1,0,0,0,0
386,27,9,AGE+GENDER,2.147,1,0,1,0,0,0,0
387,27,15,GENDER,3.249,1,0,1,0,0,0,0
388,27,12,AGE+GENDER,0.489,1,0,1,0,0,0,0
389,27,14,AGE+GENDER,2.587,0,0,1,0,0,0,0
390,28,4,AGE+GENDER,0.557,1,0,1,1,1,1,2
391,28,12,AGE+GENDER,0.949,0,0,1,1,1,1,2
392,28,2,AGE+GENDER,4.665,1,0,1,1,1,1,2
393,28,13,AGE+GENDER,1.225,0,0,1,1,1,1,2
394,28,14,AGE+GENDER,1.304,0,0,1,1,1,1,2
395,28,1,GENDER,3.407,0,0,1,1,1,1,2
396,28,9,AGE+GENDER,1.882,0,0,1,1,1,1,2
397,28,14,AGE+GENDER,3.052,0,0,1,1,1,1,2
398,28,2,AGE+GENDER,2.526,1,0,1,1,1,1,2
399,28,9,AGE+GENDER,0.748,0,0,1,1,1,1,2
400,28,4,AGE+GENDER,1.885,1,0,1,1,1,1,2
401,28,12,AGE+GENDER,0.222,0,0,1,1,1,1,2
402,28,10,GENDER,3.273,0,0,1,1,1,1,2
403,29,12,AGE+GENDER,2.807,0,0,1,0,0,0,0
404,29,9,AGE+GENDER,1.831,1,0,1,0,0,0,0
405,29,2,AGE+GENDER,4.765,0,0,1,0,0,0,0
406,29,14,AGE+GENDER,4.119,0,0,1,0,0,0,0
407,29,15,GENDER,1.565,1,0,1,0,0,0,0
408,29,7,AGE+GENDER,3.696,1,0,1,0,0,0,0
409,29,10,GENDER,5.039,1,0,1,0,0,0,0
410,29,4,AGE+GENDER,2.073,0,0,1,0,0,0,0
411,29,15,GENDER,2.496,1,0,1,0,0,0,0
412,29,14,AGE+GENDER,4.369,0,0,1,0,0,0,0
413,29,10,GENDER,4.372,1,0,1,0,0,0,0
414,29,2,AGE+GENDER,2.244,0,0,1,0,0,0,0
415,29,4,AGE+GENDER,3.424,0,0,1,0,0,0,0
416,29,9,AGE+GENDER,1.598,1,0,1,0,0,0,0
417,29,12,AGE+GENDER,3.757,1,0,1,0,0,0,0
418,30,2,AGE+GENDER,4.964,0,0,0,1,1,0,1
419,30,7,AGE+GENDER,3.18,0,0,0,1,1,0,1
420,30,15,GENDER,3.632,1,0,0,1,1,0,1
421,30,9,AGE+GENDER,3.132,1,0,0,1,1,0,1
422,30,1,GENDER,2.057,0,0,0,1,1,0,1
423,30,14,AGE+GENDER,4.154,0,0,0,1,1,0,1
424,30,4,AGE+GENDER,1.924,1,0,0,1,1,0,1
425,30,12,AGE+GENDER,2.39,1,0,0,1,1,0,1
426,30,13,AGE+GENDER,4.908,0,0,0,1,1,0,1
427,30,7,AGE+GENDER,2.03,1,0,0,1,1,0,1
428,30,15,GENDER,2.516,0,0,0,1,1,0,1
429,30,12,AGE+GENDER,1.14,0,0,0,1,1,0,1
430,30,1,GENDER,1.822,0,0,0,1,1,0,1
431,30,14,AGE+GENDER,2.536,0,0,0,1,1,0,1
432,30,9,AGE+GENDER,0.865,1,0,0,1,1,0,1
433,30,13,AGE+GENDER,1.558,1,0,0,1,1,0,1
434,30,4,AGE+GENDER,1.403,1,0,0,1,1,0,1
