RT,R
2.8184257001672957,1.0
3.2984257001672956,0.0
2.3984257001672957,0.0
7.0484257001672965,1.0
3.828425700167296,0.0
3.6384257001672955,1.0
4.368425700167296,0.0
2.708425700167296,0.0
4.728425700167296,0.0
7.0984257001672955,0.0
3.4184257001672957,0.0
2.7384257001672956,1.0
4.538425700167296,0.0
4.458425700167296,0.0
10.508425700167296,1.0
7.268425700167295,0.0
6.418425700167296,1.0
4.088425700167296,1.0
5.958425700167295,0.0
2.408425700167296,0.0
4.1784257001672955,1.0
2.408425700167296,1.0
9.128425700167297,1.0
8.138425700167296,0.0
3.488425700167296,1.0
11.678425700167296,0.0
4.878425700167296,0.0
5.578425700167296,0.0
7.0484257001672965,0.0
2.1984257001672955,0.0
3.2784257001672956,0.0
5.798425700167296,0.0
8.018425700167295,0.0
3.9484257001672955,0.0
2.7784257001672956,0.0
5.628425700167296,1.0
2.458425700167296,0.0
6.458425700167297,0.0
2.6384257001672955,0.0
9.158425700167296,1.0
6.018425700167295,0.0
3.5984257001672955,0.0
11.828425700167296,0.0
2.6984257001672955,0.0
4.068425700167296,0.0
3.0184257001672954,1.0
8.748425700167296,1.0
2.9384257001672958,0.0
10.128425700167295,0.0
2.498425700167296,0.0
11.858425700167295,0.0
6.568425700167296,0.0
9.728425700167296,0.0
3.8784257001672957,0.0
2.948425700167296,0.0
3.448425700167296,0.0
11.668425700167296,0.0
2.4884257001672956,0.0
4.918425700167296,0.0
3.8484257001672955,0.0
2.248425700167296,1.0
5.398425700167296,0.0
5.198425700167295,0.0
11.858425700167295,0.0
3.768425700167296,0.0
4.808425700167296,0.0
2.908425700167296,1.0
4.078425700167296,0.0
3.228425700167296,0.0
11.858425700167295,1.0
2.5284257001672956,1.0
3.6684257001672957,1.0
9.088425700167296,0.0
3.538425700167296,0.0
6.238425700167296,0.0
5.438425700167295,0.0
4.038425700167296,1.0
5.718425700167296,0.0
4.9284257001672955,0.0
4.878425700167296,0.0
3.7784257001672956,0.0
5.008425700167296,0.0
4.758425700167296,0.0
8.208425700167297,0.0
3.6784257001672955,1.0
3.1484257001672957,0.0
4.228425700167296,0.0
11.198425700167295,1.0
5.058425700167296,1.0
2.6084257001672957,0.0
8.768425700167295,0.0
6.018425700167295,0.0
4.358425700167295,0.0
6.898425700167296,1.0
4.518425700167295,0.0
11.858425700167295,0.0
5.538425700167296,0.0
2.538425700167296,0.0
4.158425700167296,0.0
6.568425700167296,1.0
3.1784257001672955,1.0
5.138425700167296,0.0
8.308425700167296,0.0
2.8584257001672957,1.0
4.608425700167295,1.0
6.738425700167296,0.0
6.518425700167295,0.0
2.498425700167296,0.0
4.898425700167296,0.0
8.158425700167296,0.0
7.408425700167296,0.0
4.1784257001672955,0.0
11.858425700167295,0.0
2.8884257001672955,0.0
2.708425700167296,0.0
11.858425700167295,1.0
3.698425700167296,0.0
6.268425700167295,0.0
10.828425700167296,1.0
4.728425700167296,0.0
6.7984257001672965,1.0
4.298425700167296,0.0
10.008425700167296,0.0
6.738425700167296,0.0
2.8784257001672957,0.0
3.0684257001672957,0.0
3.518425700167296,0.0
4.068425700167296,0.0
2.558425700167296,1.0
2.7184257001672956,0.0
4.198425700167295,0.0
5.308425700167296,0.0
3.208425700167296,0.0
3.8384257001672957,0.0
3.5484257001672956,0.0
3.2684257001672954,0.0
2.8184257001672957,0.0
3.1384257001672955,1.0
3.4384257001672958,0.0
2.8784257001672957,0.0
3.998425700167296,1.0
9.698425700167295,0.0
11.858425700167295,0.0
3.158425700167296,0.0
3.0684257001672957,0.0
10.238425700167296,1.0
11.858425700167295,0.0
11.678425700167296,0.0
3.9084257001672955,0.0
3.7784257001672956,0.0
4.058425700167296,0.0
4.6784257001672955,0.0
5.9684257001672965,0.0
8.608425700167295,0.0
8.098425700167295,0.0
2.808425700167296,0.0
4.018425700167295,0.0
2.6284257001672957,0.0
4.418425700167296,0.0
11.858425700167295,0.0
3.578425700167296,0.0
3.828425700167296,1.0
4.868425700167296,1.0
3.0984257001672955,0.0
2.248425700167296,0.0
8.668425700167296,0.0
6.498425700167296,0.0
3.408425700167296,0.0
5.998425700167296,1.0
8.778425700167295,0.0
10.688425700167295,0.0
5.9284257001672955,1.0
11.858425700167295,0.0
2.6884257001672958,0.0
3.3084257001672954,0.0
5.268425700167295,0.0
