,RT1,R,RT_o,R_o
0,3.237777028621313,0.0,10.381,1
1,6.367777028621313,1.0,5.896,0
2,7.897777028621312,0.0,4.548,0
3,3.4377770286213125,0.0,3.531,0
4,5.467777028621312,0.0,4.014,0
5,4.817777028621313,0.0,2.547,1
6,4.137777028621312,0.0,2.699,0
7,7.497777028621313,0.0,2.098,0
8,3.2877770286213126,1.0,4.364,0
9,2.6877770286213125,0.0,2.631,0
10,2.3577770286213124,0.0,2.098,0
11,3.7977770286213124,0.0,5.198,0
12,8.437777028621312,0.0,9.73,0
13,2.9177770286213125,0.0,2.764,0
14,4.187777028621312,0.0,4.28,0
15,7.147777028621312,0.0,3.481,0
16,13.187777028621312,1.0,3.214,0
17,2.1677770286213125,0.0,3.48,0
18,4.147777028621313,0.0,3.931,1
19,13.577777028621313,0.0,2.098,1
20,2.0877770286213124,1.0,2.281,0
21,10.797777028621313,0.0,4.047,1
22,5.2077770286213125,0.0,5.031,0
23,2.0777770286213126,0.0,2.047,0
24,10.187777028621312,0.0,11.281,0
25,3.3377770286213124,0.0,6.681,1
26,3.7477770286213126,0.0,7.148,0
27,4.647777028621313,0.0,7.065,0
28,3.517777028621312,0.0,4.597,0
29,3.597777028621312,0.0,6.248,0
30,3.4077770286213127,0.0,2.88,0
31,3.8277770286213126,0.0,2.497,0
32,2.8177770286213124,0.0,1.714,0
33,4.407777028621313,1.0,3.481,0
34,8.007777028621312,1.0,5.681,1
35,5.9177770286213125,0.0,2.631,0
36,9.747777028621313,0.0,4.031,0
37,3.2577770286213124,0.0,2.647,0
38,4.697777028621313,0.0,6.216,0
39,3.347777028621312,1.0,5.516,1
40,2.6177770286213127,0.0,3.599,0
41,7.4177770286213125,0.0,4.733,1
42,5.557777028621312,0.0,3.882,1
43,4.927777028621312,0.0,6.067,0
44,6.017777028621312,0.0,5.065,0
45,6.017777028621312,0.0,3.23,0
46,2.9977770286213126,0.0,3.08,0
47,3.9077770286213127,0.0,4.698,0
48,6.447777028621313,0.0,3.847,0
49,7.967777028621312,1.0,3.965,0
50,3.1477770286213125,0.0,4.131,0
51,16.597777028621312,0.0,10.848,1
52,13.597777028621312,1.0,3.68,1
53,5.797777028621312,0.0,5.231,0
54,4.7077770286213125,1.0,7.932,0
55,2.8577770286213124,0.0,7.331,0
56,2.557777028621312,0.0,3.781,0
57,5.3777770286213125,0.0,4.847,0
58,3.4477770286213127,0.0,3.763,0
59,6.587777028621312,0.0,12.398,0
