,RT1,R,RT_o,R_o
0,3.1422853193356,0.0,3.04,1
1,4.0822853193355995,0.0,1.473,0
2,2.6822853193356,0.0,2.048,0
3,3.0022853193356,1.0,0.801,0
4,2.8222853193356,0.0,3.69,0
5,3.4022853193355997,0.0,3.365,0
6,4.252285319335599,0.0,6.24,0
7,2.3322853193356,0.0,3.722,0
9,2.4022853193355997,0.0,3.482,0
10,2.3622853193355997,0.0,3.264,0
11,3.4422853193356,0.0,2.974,0
12,3.0222853193356,1.0,1.84,0
13,5.3822853193356,0.0,1.731,0
14,2.1422853193356,0.0,2.707,0
15,4.4422853193356,0.0,1.935,0
17,5.6822853193356,0.0,5.265,1
18,2.6722853193355998,0.0,6.888,1
19,2.9522853193356,0.0,4.547,1
20,2.0522853193355997,0.0,7.389,1
21,3.7122853193356,0.0,2.252,0
22,2.3022853193355997,1.0,2.973,0
23,6.5122853193356,0.0,3.448,1
24,2.5922853193355997,1.0,4.069,1
25,1.9022853193355997,0.0,1.732,0
26,2.2122853193356,0.0,1.356,0
27,3.9522853193356,1.0,3.555,0
28,2.8022853193355997,1.0,1.838,0
29,2.4822853193356,0.0,2.598,0
30,7.1822853193356,0.0,5.39,0
31,5.7022853193356,0.0,4.163,0
33,7.2122853193356,0.0,2.896,0
34,5.3022853193356,0.0,2.533,0
35,2.6322853193355997,0.0,3.04,0
36,4.2822853193356,0.0,4.023,0
37,4.5522853193356,0.0,3.456,0
38,2.3022853193355997,0.0,6.039,0
39,7.7422853193356,0.0,2.382,0
41,3.3322853193356,0.0,3.882,0
42,5.4822853193356,0.0,3.504,0
43,2.0522853193355997,0.0,3.282,0
44,2.7022853193356,0.0,5.257,0
45,4.5622853193356,0.0,4.323,0
46,5.9922853193356,0.0,5.057,0
47,2.8222853193356,0.0,1.722,0
48,4.8022853193356,0.0,3.173,0
49,3.6122853193356,0.0,2.932,0
50,1.9222853193355998,0.0,2.823,0
51,3.8022853193356,0.0,2.846,0
52,2.5622853193356,0.0,2.385,0
53,2.1622853193356,0.0,3.415,0
54,7.1322853193356,0.0,2.323,0
55,2.5722853193355997,0.0,5.74,0
56,2.8322853193356,0.0,5.023,0
57,6.3622853193356,0.0,1.853,0
58,2.0822853193356,1.0,3.115,0
59,3.1522853193355997,0.0,3.373,1
60,2.1522853193355997,0.0,7.239,0
63,3.0522853193356,0.0,1.674,0
64,3.4822853193356,0.0,5.207,0
65,1.4922853193355998,0.0,3.064,0
66,1.8022853193355997,0.0,4.105,0
67,5.1822853193356,0.0,4.038,0
68,4.8522853193356,0.0,2.606,0
69,3.4922853193356,1.0,7.022,0
70,2.0822853193356,0.0,4.072,1
72,2.6622853193356,0.0,5.431,0
73,2.5122853193355996,0.0,2.089,0
75,4.6922853193356,0.0,3.298,0
76,5.9822853193356,0.0,1.89,0
77,4.0522853193356,0.0,2.523,0
78,6.3322853193356,0.0,1.124,0
79,2.9222853193355998,0.0,2.857,0
80,5.1522853193356,0.0,4.723,0
81,7.4222853193356,1.0,7.391,0
82,4.7422853193356,1.0,5.382,1
83,2.6522853193355997,0.0,5.735,0
84,4.3922853193356,0.0,7.539,0
85,2.7422853193355996,0.0,4.759,0
86,3.2422853193356,0.0,1.574,1
88,4.5322853193356,0.0,3.507,0
89,4.2422853193356,0.0,2.756,1
90,7.8822853193356,0.0,1.731,1
91,2.9122853193356,0.0,1.319,1
92,3.1022853193356,0.0,7.255,1
94,1.6022853193356,0.0,4.358,1
95,2.6922853193356,0.0,4.022,1
96,4.9122853193355995,0.0,4.813,1
97,6.5222853193356,0.0,7.055,1
98,5.1322853193356,0.0,6.073,0
99,4.3322853193355995,0.0,4.59,0
100,2.9722853193356,0.0,5.065,0
101,2.4322853193356,0.0,3.832,0
103,5.4722853193356,0.0,3.833,0
104,3.3322853193356,0.0,1.923,0
105,3.9622853193356,0.0,1.869,0
106,2.2022853193356,0.0,6.607,0
107,3.7622853193356,0.0,4.53,1
108,2.5622853193356,1.0,1.903,0
109,2.4522853193356,0.0,3.005,0
110,4.2622853193356,0.0,3.282,0
111,2.5122853193355996,1.0,4.491,0
112,2.1722853193355998,0.0,1.556,0
