,RT1,R,RT_o,R_o
0,3.3605751707339815,1.0,3.04,1
1,1.3105751707339812,1.0,1.473,0
2,1.820575170733981,0.0,2.048,0
3,2.360575170733981,0.0,0.801,0
4,4.730575170733982,0.0,3.69,0
5,4.000575170733981,0.0,3.365,0
6,3.210575170733981,0.0,6.24,0
7,3.430575170733981,0.0,3.722,0
8,2.9505751707339813,0.0,2.756,0
10,3.6205751707339813,0.0,3.264,0
11,4.840575170733981,1.0,2.974,0
12,3.170575170733981,0.0,1.84,0
13,4.670575170733981,0.0,1.731,0
14,3.5305751707339814,1.0,2.707,0
16,2.220575170733981,0.0,2.732,0
19,1.5605751707339812,1.0,4.547,1
20,1.9805751707339811,1.0,7.389,1
21,1.590575170733981,0.0,2.252,0
23,4.3605751707339815,0.0,3.448,1
24,6.470575170733982,1.0,4.069,1
25,5.840575170733981,0.0,1.732,0
26,1.920575170733981,0.0,1.356,0
27,5.540575170733981,0.0,3.555,0
28,5.410575170733981,0.0,1.838,0
29,4.040575170733981,0.0,2.598,0
30,6.380575170733981,1.0,5.39,0
31,2.9405751707339816,0.0,4.163,0
33,4.8205751707339815,0.0,2.896,0
34,3.2005751707339813,0.0,2.533,0
35,2.5805751707339812,0.0,3.04,0
36,2.9905751707339814,0.0,4.023,0
37,2.180575170733981,0.0,3.456,0
38,3.7805751707339814,1.0,6.039,0
39,1.850575170733981,0.0,2.382,0
40,7.100575170733982,0.0,3.573,0
41,2.090575170733981,1.0,3.882,0
43,3.4005751707339815,1.0,3.282,0
44,2.420575170733981,0.0,5.257,0
45,2.540575170733981,0.0,4.323,0
46,4.460575170733981,0.0,5.057,0
47,1.7805751707339812,1.0,1.722,0
48,2.8605751707339815,1.0,3.173,0
50,1.9505751707339811,0.0,2.823,0
51,3.4105751707339813,0.0,2.846,0
52,5.420575170733981,0.0,2.385,0
53,1.570575170733981,0.0,3.415,0
54,5.980575170733982,0.0,2.323,0
55,3.260575170733981,0.0,5.74,0
56,2.5805751707339812,0.0,5.023,0
57,2.060575170733981,0.0,1.853,0
58,1.3505751707339813,0.0,3.115,0
59,2.190575170733981,0.0,3.373,1
60,2.310575170733981,0.0,7.239,0
61,3.380575170733981,0.0,4.411,1
62,3.9905751707339814,0.0,2.75,0
63,1.9805751707339811,0.0,1.674,0
64,7.200575170733981,0.0,5.207,0
65,2.0305751707339814,0.0,3.064,0
66,1.2205751707339811,0.0,4.105,0
67,6.960575170733981,0.0,4.038,0
68,2.270575170733981,0.0,2.606,0
69,1.860575170733981,0.0,7.022,0
70,3.540575170733981,1.0,4.072,1
71,1.8105751707339812,0.0,2.065,0
72,2.090575170733981,1.0,5.431,0
73,5.460575170733981,0.0,2.089,0
74,3.0205751707339807,1.0,3.838,0
75,4.180575170733981,0.0,3.298,0
76,3.140575170733981,0.0,1.89,0
77,3.550575170733981,0.0,2.523,0
