,RT1,R,RT_o,R_o
0,3.383509615208713,0.0,3.04,1
1,4.383509615208713,1.0,1.473,0
2,2.673509615208713,1.0,2.048,0
3,2.193509615208713,0.0,0.801,0
4,1.373509615208713,1.0,3.69,0
6,1.7135096152087128,0.0,6.24,0
7,7.2535096152087135,0.0,3.722,0
8,1.863509615208713,0.0,2.756,0
9,1.133509615208713,0.0,3.482,0
10,4.583509615208714,1.0,3.264,0
11,7.263509615208713,0.0,2.974,0
12,4.453509615208713,0.0,1.84,0
13,3.383509615208713,0.0,1.731,0
14,1.7835096152087129,1.0,2.707,0
15,1.4835096152087128,0.0,1.935,0
16,1.343509615208713,0.0,2.732,0
17,2.633509615208713,1.0,5.265,1
18,6.223509615208713,0.0,6.888,1
19,7.353509615208713,0.0,4.547,1
20,5.603509615208713,0.0,7.389,1
21,1.573509615208713,0.0,2.252,0
22,5.2935096152087135,0.0,2.973,0
23,1.2535096152087128,0.0,3.448,1
24,3.8735096152087127,0.0,4.069,1
25,4.083509615208713,0.0,1.732,0
27,3.8135096152087127,0.0,3.555,0
28,3.733509615208713,1.0,1.838,0
29,1.9135096152087128,0.0,2.598,0
30,2.5235096152087126,1.0,5.39,0
31,3.513509615208713,0.0,4.163,0
32,1.8935096152087127,1.0,3.874,0
33,4.803509615208713,0.0,2.896,0
34,1.6535096152087128,1.0,2.533,0
35,1.403509615208713,1.0,3.04,0
36,4.583509615208714,0.0,4.023,0
37,4.683509615208713,0.0,3.456,0
38,2.133509615208713,1.0,6.039,0
39,2.923509615208713,0.0,2.382,0
41,2.073509615208713,1.0,3.882,0
42,2.123509615208713,0.0,3.504,0
43,7.013509615208713,0.0,3.282,0
44,3.993509615208713,0.0,5.257,0
45,2.963509615208713,0.0,4.323,0
46,2.823509615208713,0.0,5.057,0
47,4.483509615208713,0.0,1.722,0
48,4.203509615208713,1.0,3.173,0
49,3.5835096152087127,0.0,2.932,0
50,4.033509615208713,1.0,2.823,0
51,1.7735096152087129,0.0,2.846,0
52,6.693509615208713,0.0,2.385,0
53,2.493509615208713,1.0,3.415,0
54,6.923509615208713,1.0,2.323,0
55,1.1835096152087128,1.0,5.74,0
56,2.943509615208713,0.0,5.023,0
57,3.093509615208713,0.0,1.853,0
58,3.693509615208713,0.0,3.115,0
60,3.273509615208713,0.0,7.239,0
61,1.1935096152087128,0.0,4.411,1
62,3.463509615208713,0.0,2.75,0
63,3.6435096152087127,1.0,1.674,0
64,1.5335096152087129,0.0,5.207,0
65,4.083509615208713,0.0,3.064,0
66,6.873509615208714,0.0,4.105,0
67,3.403509615208713,1.0,4.038,0
68,5.423509615208713,0.0,2.606,0
69,1.6535096152087128,0.0,7.022,0
70,3.983509615208713,0.0,4.072,1
72,1.6335096152087127,0.0,5.431,0
73,3.6035096152087127,0.0,2.089,0
74,3.973509615208713,1.0,3.838,0
75,2.633509615208713,0.0,3.298,0
76,6.243509615208714,0.0,1.89,0
77,1.403509615208713,1.0,2.523,0
78,4.913509615208714,0.0,1.124,0
79,3.543509615208713,0.0,2.857,0
80,3.023509615208713,1.0,4.723,0
81,5.923509615208713,0.0,7.391,0
82,3.533509615208713,0.0,5.382,1
83,3.3135096152087127,0.0,5.735,0
84,1.7535096152087128,0.0,7.539,0
85,2.033509615208713,1.0,4.759,0
87,2.863509615208713,0.0,1.547,1
88,2.613509615208713,0.0,3.507,0
89,2.723509615208713,0.0,2.756,1
90,6.653509615208713,0.0,1.731,1
91,5.993509615208714,1.0,1.319,1
92,5.283509615208714,0.0,7.255,1
93,2.533509615208713,0.0,4.33,1
94,4.943509615208713,0.0,4.358,1
95,2.803509615208713,1.0,4.022,1
96,2.083509615208713,0.0,4.813,1
97,2.553509615208713,0.0,7.055,1
98,2.043509615208713,0.0,6.073,0
100,1.2935096152087129,0.0,5.065,0
101,2.233509615208713,0.0,3.832,0
102,7.123509615208714,1.0,3.457,1
103,5.533509615208714,0.0,3.833,0
104,2.233509615208713,0.0,1.923,0
105,1.383509615208713,0.0,1.869,0
106,2.293509615208713,0.0,6.607,0
107,3.773509615208713,0.0,4.53,1
108,2.133509615208713,0.0,1.903,0
109,6.993509615208714,0.0,3.005,0
110,2.683509615208713,0.0,3.282,0
111,2.073509615208713,0.0,4.491,0
112,2.383509615208713,0.0,1.556,0
113,2.703509615208713,0.0,3.102,0
114,1.2435096152087128,0.0,3.872,0
115,1.553509615208713,1.0,3.249,0
116,5.303509615208713,0.0,3.407,1
117,1.5435096152087129,1.0,3.273,1
118,5.333509615208714,0.0,1.565,0
119,3.6435096152087127,1.0,5.039,0
120,4.353509615208713,0.0,2.496,0
121,4.0035096152087135,1.0,4.372,0
122,3.783509615208713,1.0,6.403,0
123,2.233509615208713,1.0,3.632,0
124,4.7535096152087135,0.0,2.057,1
125,4.2135096152087135,0.0,2.516,1
127,6.383509615208713,1.0,2.19,1
128,3.493509615208713,0.0,3.94,1
129,0.7935096152087129,0.0,2.79,0
130,6.523509615208713,1.0,3.998,0
131,0.9135096152087129,1.0,3.707,0
132,4.283509615208713,0.0,4.386,1
133,1.873509615208713,0.0,6.174,0
134,1.823509615208713,0.0,3.749,0
136,2.253509615208713,0.0,4.914,1
137,3.403509615208713,0.0,4.406,1
138,3.213509615208713,0.0,4.941,0
139,3.403509615208713,0.0,3.873,0
141,2.503509615208713,0.0,4.032,1
142,1.2035096152087128,0.0,1.623,0
143,3.003509615208713,0.0,1.348,0
144,2.5435096152087127,1.0,2.49,0
145,1.073509615208713,0.0,1.628,0
148,6.243509615208714,0.0,5.457,0
149,1.5035096152087128,0.0,4.565,1
150,2.9135096152087128,0.0,2.557,0
151,4.053509615208713,1.0,1.92,0
152,7.393509615208713,0.0,2.623,0
153,5.0035096152087135,0.0,3.33,0
154,2.973509615208713,0.0,6.49,1
155,1.0135096152087129,1.0,4.297,0
158,3.183509615208713,0.0,3.05,0
159,2.713509615208713,1.0,2.806,0
160,3.0835096152087127,0.0,2.239,0
161,1.9435096152087128,0.0,2.139,0
162,1.4335096152087128,1.0,2.131,0
163,5.383509615208713,0.0,0.654,0
164,1.2835096152087129,0.0,3.673,0
165,5.483509615208713,0.0,6.44,1
166,3.213509615208713,0.0,4.67,0
167,3.323509615208713,0.0,2.823,0
168,2.373509615208713,0.0,3.148,1
169,2.503509615208713,1.0,4.523,1
170,5.0435096152087135,0.0,3.257,0
171,4.2135096152087135,1.0,4.239,1
172,3.653509615208713,0.0,3.465,1
173,1.7835096152087129,0.0,4.655,0
174,4.223509615208713,0.0,1.873,0
175,5.673509615208713,0.0,3.44,0
176,1.323509615208713,0.0,3.04,1
