,RT1,R,RT_o,R_o
0,6.350201751169752,0.0,3.04,1
2,4.970201751169753,0.0,2.048,0
3,2.9802017511697527,0.0,0.801,0
4,6.810201751169753,0.0,3.69,0
5,6.390201751169753,1.0,3.365,0
6,4.400201751169753,1.0,6.24,0
7,2.0302017511697525,0.0,3.722,0
8,4.140201751169752,0.0,2.756,0
9,1.3902017511697524,1.0,3.482,0
10,3.2202017511697525,1.0,3.264,0
11,1.8202017511697526,1.0,2.974,0
12,2.5702017511697526,0.0,1.84,0
13,6.500201751169753,0.0,1.731,0
14,4.980201751169753,1.0,2.707,0
15,4.200201751169752,0.0,1.935,0
16,1.5302017511697525,0.0,2.732,0
17,1.6102017511697524,0.0,5.265,1
18,1.9702017511697525,0.0,6.888,1
19,2.5102017511697525,0.0,4.547,1
20,2.4502017511697525,0.0,7.389,1
21,2.9102017511697524,0.0,2.252,0
22,7.640201751169753,0.0,2.973,0
24,5.610201751169752,0.0,4.069,1
25,3.9802017511697527,0.0,1.732,0
26,2.2002017511697525,0.0,1.356,0
27,2.3502017511697524,0.0,3.555,0
28,1.7802017511697525,0.0,1.838,0
29,4.250201751169753,0.0,2.598,0
30,4.8002017511697535,0.0,5.39,0
32,1.6802017511697525,0.0,3.874,0
33,4.420201751169753,1.0,2.896,0
34,1.8802017511697524,0.0,2.533,0
35,2.2402017511697525,0.0,3.04,0
36,2.5602017511697523,0.0,4.023,0
37,4.950201751169752,0.0,3.456,0
38,1.6802017511697525,1.0,6.039,0
39,2.6902017511697527,0.0,2.382,0
40,2.8302017511697524,0.0,3.573,0
41,1.9302017511697525,0.0,3.882,0
43,7.460201751169752,1.0,3.282,0
44,2.2102017511697527,1.0,5.257,0
45,5.560201751169753,0.0,4.323,0
46,1.6502017511697524,0.0,5.057,0
47,3.4802017511697527,0.0,1.722,0
48,4.330201751169753,0.0,3.173,0
49,7.860201751169752,0.0,2.932,0
50,1.8002017511697526,0.0,2.823,0
51,3.1802017511697525,0.0,2.846,0
52,7.700201751169752,0.0,2.385,0
53,6.8002017511697535,1.0,3.415,0
55,2.5102017511697525,0.0,5.74,0
56,3.5902017511697526,0.0,5.023,0
57,4.340201751169753,0.0,1.853,0
58,4.880201751169752,0.0,3.115,0
59,5.2602017511697525,0.0,3.373,1
60,2.1402017511697524,0.0,7.239,0
61,2.9502017511697525,0.0,4.411,1
62,0.7002017511697525,0.0,2.75,0
63,2.7602017511697525,0.0,1.674,0
64,4.520201751169752,0.0,5.207,0
65,4.360201751169752,0.0,3.064,0
66,2.1002017511697524,1.0,4.105,0
67,4.200201751169752,0.0,4.038,0
68,1.3102017511697523,0.0,2.606,0
69,2.3402017511697526,0.0,7.022,0
70,3.2802017511697525,0.0,4.072,1
71,2.400201751169752,0.0,2.065,0
72,2.0002017511697527,0.0,5.431,0
73,1.2702017511697525,0.0,2.089,0
75,3.0902017511697526,0.0,3.298,0
76,4.040201751169752,0.0,1.89,0
77,1.7202017511697525,0.0,2.523,0
78,5.120201751169752,0.0,1.124,0
79,1.4502017511697525,0.0,2.857,0
80,5.670201751169753,0.0,4.723,0
81,2.400201751169752,0.0,7.391,0
82,1.1302017511697526,0.0,5.382,1
83,6.590201751169753,0.0,5.735,0
84,1.2302017511697525,0.0,7.539,0
85,4.690201751169752,0.0,4.759,0
86,3.6402017511697524,0.0,1.574,1
87,2.6802017511697525,0.0,1.547,1
88,1.7402017511697525,1.0,3.507,0
89,3.0102017511697525,0.0,2.756,1
90,4.5102017511697525,1.0,1.731,1
91,4.420201751169753,0.0,1.319,1
92,1.1102017511697526,0.0,7.255,1
93,1.6902017511697525,0.0,4.33,1
94,4.020201751169752,1.0,4.358,1
95,1.3202017511697526,0.0,4.022,1
96,1.9002017511697524,0.0,4.813,1
97,7.140201751169753,1.0,7.055,1
99,2.4502017511697525,0.0,4.59,0
101,5.520201751169752,0.0,3.832,0
102,2.9502017511697525,1.0,3.457,1
103,1.6002017511697526,0.0,3.833,0
104,5.730201751169753,0.0,1.923,0
105,4.300201751169753,1.0,1.869,0
106,2.8102017511697523,0.0,6.607,0
107,4.670201751169753,0.0,4.53,1
108,1.7402017511697525,0.0,1.903,0
109,4.990201751169753,0.0,3.005,0
110,3.4002017511697527,1.0,3.282,0
111,2.2602017511697525,0.0,4.491,0
112,1.6202017511697524,0.0,1.556,0
113,1.8802017511697524,0.0,3.102,0
114,4.1802017511697525,0.0,3.872,0
115,1.5002017511697525,0.0,3.249,0
116,3.2002017511697525,0.0,3.407,1
117,2.080201751169753,1.0,3.273,1
118,6.110201751169752,0.0,1.565,0
120,1.4802017511697525,0.0,2.496,0
121,3.6702017511697527,1.0,4.372,0
123,1.2302017511697525,0.0,3.632,0
124,2.1102017511697526,0.0,2.057,1
125,2.6902017511697527,0.0,2.516,1
126,2.1802017511697525,0.0,1.822,1
127,2.330201751169753,1.0,2.19,1
128,4.340201751169753,1.0,3.94,1
129,3.8602017511697526,0.0,2.79,0
130,2.0402017511697528,0.0,3.998,0
131,2.7402017511697525,0.0,3.707,0
132,6.060201751169753,0.0,4.386,1
133,3.1702017511697527,0.0,6.174,0
134,1.5702017511697526,0.0,3.749,0
135,2.7702017511697523,0.0,4.149,0
136,2.6802017511697525,0.0,4.914,1
137,3.0702017511697526,0.0,4.406,1
138,1.9702017511697525,1.0,4.941,0
139,3.1702017511697527,1.0,3.873,0
140,3.7202017511697525,0.0,5.807,0
141,7.360201751169752,0.0,4.032,1
143,0.9202017511697524,0.0,1.348,0
144,3.9802017511697527,1.0,2.49,0
145,3.0902017511697526,1.0,1.628,0
146,7.450201751169752,0.0,1.273,0
147,2.2602017511697525,0.0,3.44,0
148,2.1602017511697524,0.0,5.457,0
149,6.9302017511697525,0.0,4.565,1
150,4.910201751169753,0.0,2.557,0
151,7.2602017511697525,1.0,1.92,0
152,6.400201751169753,0.0,2.623,0
153,2.1302017511697526,1.0,3.33,0
154,1.5302017511697525,0.0,6.49,1
155,3.9202017511697527,0.0,4.297,0
156,3.0302017511697525,0.0,7.64,0
157,1.0902017511697526,0.0,4.336,0
158,2.3102017511697523,1.0,3.05,0
159,1.3502017511697524,1.0,2.806,0
160,1.9802017511697525,0.0,2.239,0
161,1.5602017511697526,0.0,2.139,0
163,3.5002017511697527,1.0,0.654,0
165,3.7302017511697527,0.0,6.44,1
166,3.5302017511697525,0.0,4.67,0
167,2.2602017511697525,0.0,2.823,0
168,3.4402017511697527,1.0,3.148,1
169,6.190201751169752,0.0,4.523,1
170,3.4302017511697525,0.0,3.257,0
171,1.8202017511697526,1.0,4.239,1
172,1.8802017511697524,0.0,3.465,1
173,4.850201751169752,0.0,4.655,0
174,4.2602017511697525,0.0,1.873,0
176,4.860201751169752,0.0,2.048,0
177,2.6802017511697525,1.0,0.801,0
178,2.3702017511697524,0.0,2.973,0
179,2.9802017511697527,0.0,2.973,0
180,2.9902017511697525,0.0,4.069,1
181,3.1002017511697524,0.0,1.732,0
182,3.3702017511697524,1.0,6.039,0
183,3.4202017511697527,0.0,6.039,0
184,7.500201751169753,0.0,3.456,0
186,3.7702017511697528,0.0,5.057,0
188,3.2402017511697525,0.0,4.323,0
189,5.500201751169753,1.0,3.373,1
191,4.590201751169753,1.0,3.373,1
192,4.790201751169752,1.0,5.207,0
193,3.2502017511697527,1.0,1.674,0
194,2.6702017511697527,1.0,1.674,0
195,3.4102017511697524,0.0,2.606,0
196,2.6102017511697526,0.0,2.606,0
197,4.170201751169753,1.0,2.523,0
198,6.690201751169752,0.0,6.073,0
199,2.5802017511697524,0.0,5.065,0
200,5.440201751169752,0.0,5.065,0
201,2.1702017511697527,0.0,3.457,1
202,4.8002017511697535,0.0,3.832,0
203,1.5502017511697526,0.0,3.457,1
204,5.460201751169752,1.0,3.457,1
205,2.8202017511697526,0.0,1.923,0
206,4.130201751169753,1.0,1.923,0
207,1.7202017511697525,1.0,1.869,0
208,1.6802017511697525,0.0,6.607,0
209,2.8402017511697526,0.0,6.607,0
210,4.190201751169752,1.0,6.607,0
211,6.310201751169753,0.0,6.607,0
212,4.470201751169753,0.0,6.607,0
213,4.500201751169753,1.0,4.53,1
214,7.2602017511697525,1.0,3.005,0
215,7.6802017511697525,0.0,1.903,0
216,2.8702017511697524,0.0,3.273,1
217,3.6602017511697524,0.0,3.407,1
218,6.750201751169753,0.0,3.407,1
219,6.120201751169752,0.0,3.273,1
220,6.030201751169752,0.0,5.039,0
221,3.0402017511697523,1.0,2.496,0
222,1.2802017511697525,0.0,3.998,0
223,3.7102017511697527,1.0,6.174,0
224,2.3902017511697524,0.0,4.149,0
225,3.2702017511697523,0.0,3.749,0
226,3.3002017511697526,0.0,6.49,1
227,1.8802017511697524,0.0,7.64,0
228,3.7402017511697525,1.0,4.67,0
230,1.3902017511697524,0.0,3.673,0
232,3.0702017511697526,0.0,4.655,0
