,RT1,R,RT_o,R_o
0,3.302652039563097,0.0,3.04,1
1,4.222652039563097,1.0,1.473,0
3,2.2426520395630973,0.0,0.801,0
4,2.212652039563097,0.0,3.69,0
5,4.672652039563097,0.0,3.365,0
6,4.282652039563097,0.0,6.24,0
7,7.022652039563097,0.0,3.722,0
8,5.9026520395630975,1.0,2.756,0
10,1.7726520395630971,1.0,3.264,0
12,2.7326520395630975,0.0,1.84,0
13,2.422652039563097,0.0,1.731,0
14,5.662652039563097,0.0,2.707,0
15,4.142652039563098,1.0,1.935,0
16,1.8626520395630972,0.0,2.732,0
17,3.332652039563097,0.0,5.265,1
18,5.392652039563097,0.0,6.888,1
19,3.302652039563097,0.0,4.547,1
21,4.712652039563097,0.0,2.252,0
22,1.5026520395630971,0.0,2.973,0
24,2.382652039563097,0.0,4.069,1
25,6.712652039563097,1.0,1.732,0
26,3.4926520395630973,0.0,1.356,0
27,4.202652039563097,0.0,3.555,0
28,4.822652039563097,0.0,1.838,0
29,2.9026520395630975,0.0,2.598,0
30,3.012652039563097,0.0,5.39,0
31,1.9726520395630973,0.0,4.163,0
32,7.122652039563097,0.0,3.874,0
34,2.342652039563097,0.0,2.533,0
35,6.952652039563097,0.0,3.04,0
36,6.012652039563097,0.0,4.023,0
37,2.582652039563097,0.0,3.456,0
38,6.682652039563097,1.0,6.039,0
39,3.7026520395630973,0.0,2.382,0
40,2.1626520395630973,0.0,3.573,0
41,5.662652039563097,1.0,3.882,0
42,4.082652039563097,1.0,3.504,0
44,4.722652039563097,0.0,5.257,0
45,2.972652039563097,0.0,4.323,0
46,1.8726520395630972,1.0,5.057,0
47,5.752652039563097,0.0,1.722,0
48,3.6226520395630972,0.0,3.173,0
50,6.062652039563097,0.0,2.823,0
51,3.462652039563097,0.0,2.846,0
52,1.3626520395630972,0.0,2.385,0
53,4.802652039563097,0.0,3.415,0
54,2.172652039563097,1.0,2.323,0
55,7.162652039563097,0.0,5.74,0
56,4.242652039563097,0.0,5.023,0
58,2.1126520395630974,0.0,3.115,0
59,1.6426520395630972,0.0,3.373,1
60,2.042652039563097,0.0,7.239,0
61,3.4526520395630973,0.0,4.411,1
62,4.6926520395630975,0.0,2.75,0
63,1.9326520395630973,1.0,1.674,0
64,1.9626520395630973,0.0,5.207,0
65,3.8226520395630974,0.0,3.064,0
66,5.422652039563097,0.0,4.105,0
67,6.052652039563097,0.0,4.038,0
68,4.322652039563097,0.0,2.606,0
69,3.252652039563097,0.0,7.022,0
70,1.9026520395630973,1.0,4.072,1
72,4.622652039563097,0.0,5.431,0
73,2.972652039563097,0.0,2.089,0
74,2.342652039563097,0.0,3.838,0
75,2.7826520395630974,0.0,3.298,0
76,6.472652039563097,0.0,1.89,0
77,3.6626520395630973,0.0,2.523,0
78,2.4726520395630973,0.0,1.124,0
79,7.392652039563097,0.0,2.857,0
80,3.512652039563097,0.0,4.723,0
81,3.1426520395630977,0.0,7.391,0
82,2.292652039563097,0.0,5.382,1
84,6.322652039563097,1.0,7.539,0
85,1.9826520395630973,0.0,4.759,0
86,1.7726520395630971,0.0,1.574,1
87,3.5326520395630974,0.0,1.547,1
89,5.172652039563097,1.0,2.756,1
90,4.462652039563097,0.0,1.731,1
91,2.7326520395630975,1.0,1.319,1
92,4.082652039563097,0.0,7.255,1
93,1.2726520395630971,0.0,4.33,1
94,3.1126520395630974,0.0,4.358,1
96,5.872652039563097,1.0,4.813,1
97,5.632652039563097,1.0,7.055,1
98,2.082652039563097,1.0,6.073,0
99,1.9326520395630973,0.0,4.59,0
101,4.172652039563097,0.0,3.832,0
102,3.5326520395630974,0.0,3.457,1
103,2.592652039563097,0.0,3.833,0
104,1.6226520395630972,1.0,1.923,0
