,RT1,R,RT_o,R_o
0,3.3115714440431363,1.0,10.381,1
1,6.651571444043137,0.0,5.896,0
2,3.7315714440431362,1.0,4.548,0
3,4.201571444043136,0.0,3.531,0
4,3.3315714440431363,1.0,4.014,0
5,7.411571444043137,1.0,2.547,1
6,1.8615714440431363,0.0,2.699,0
7,3.2615714440431365,0.0,2.098,0
8,3.2015714440431364,0.0,4.364,0
9,4.251571444043137,1.0,2.631,0
10,2.5115714440431365,0.0,2.098,0
11,2.2715714440431363,1.0,5.198,0
12,2.2915714440431363,0.0,9.73,0
13,1.6615714440431364,0.0,2.764,0
14,8.181571444043136,0.0,4.28,0
15,6.461571444043136,0.0,3.481,0
16,8.031571444043136,0.0,3.214,0
17,6.3415714440431366,0.0,3.48,0
18,2.7915714440431363,0.0,3.931,1
19,4.441571444043136,0.0,2.098,1
20,2.4815714440431362,0.0,2.281,0
21,3.7815714440431365,0.0,4.047,1
22,5.7615714440431365,0.0,5.031,0
23,4.391571444043136,1.0,2.047,0
24,1.7015714440431364,0.0,11.281,0
25,10.711571444043138,0.0,6.681,1
26,1.7015714440431364,0.0,7.148,0
27,8.721571444043137,0.0,7.065,0
28,1.9115714440431364,0.0,4.597,0
29,2.9315714440431364,0.0,6.248,0
30,5.671571444043137,0.0,2.88,0
31,5.151571444043137,0.0,2.497,0
32,3.4815714440431362,0.0,1.714,0
33,3.3915714440431364,0.0,3.481,0
34,8.881571444043136,0.0,5.681,1
35,4.241571444043137,0.0,2.631,0
36,4.821571444043137,0.0,4.031,0
37,2.6815714440431364,0.0,2.647,0
38,4.351571444043136,0.0,6.216,0
39,2.7015714440431364,0.0,5.516,1
40,4.8015714440431365,0.0,3.599,0
41,10.451571444043138,0.0,4.733,1
42,2.9915714440431365,0.0,3.882,1
43,1.6115714440431363,1.0,6.067,0
44,10.971571444043137,1.0,5.065,0
45,6.0115714440431365,1.0,3.23,0
46,1.9515714440431364,1.0,3.08,0
47,5.121571444043136,0.0,4.698,0
48,2.7215714440431364,0.0,3.847,0
49,3.2315714440431362,0.0,3.965,0
50,4.651571444043137,0.0,4.131,0
51,4.9715714440431364,0.0,10.848,1
52,6.861571444043136,1.0,3.68,1
53,2.8715714440431364,0.0,5.231,0
54,4.0515714440431365,0.0,7.932,0
55,10.991571444043137,0.0,7.331,0
56,3.3815714440431366,0.0,3.781,0
57,2.0615714440431363,0.0,4.847,0
58,4.3015714440431365,1.0,3.763,0
59,4.2615714440431365,0.0,12.398,0
60,6.3415714440431366,0.0,2.648,0
61,1.9915714440431365,0.0,3.998,0
62,2.2615714440431365,0.0,3.247,0
63,4.0915714440431366,0.0,3.614,0
64,8.351571444043136,0.0,1.413,0
65,8.321571444043137,0.0,3.648,0
66,5.161571444043137,0.0,5.098,0
67,1.8215714440431363,0.0,5.648,0
68,7.631571444043136,0.0,5.248,1
69,5.5915714440431366,0.0,3.031,1
70,2.0015714440431362,0.0,1.565,1
71,8.321571444043137,0.0,8.165,0
72,5.141571444043137,1.0,2.532,0
73,3.421571444043136,0.0,4.032,0
74,5.551571444043136,1.0,5.432,0
75,2.531571444043136,0.0,2.515,0
76,3.2815714440431365,0.0,3.149,0
77,5.251571444043137,1.0,5.064,0
78,5.141571444043137,0.0,9.881,0
79,6.071571444043137,0.0,3.148,0
80,7.271571444043136,0.0,3.064,1
81,10.441571444043136,1.0,5.131,0
82,1.6215714440431364,1.0,3.814,0
83,7.421571444043137,0.0,2.897,0
84,2.0115714440431365,1.0,3.363,0
85,3.7715714440431363,0.0,4.464,0
86,1.7415714440431365,0.0,3.364,0
87,3.5015714440431362,0.0,3.914,0
88,5.231571444043137,0.0,3.214,0
89,8.111571444043136,0.0,3.131,0
90,4.431571444043136,0.0,2.164,0
91,4.4715714440431364,0.0,4.83,0
92,10.551571444043137,0.0,2.58,0
93,6.661571444043137,0.0,1.547,0
94,3.5215714440431363,0.0,2.448,0
95,3.1615714440431364,0.0,5.981,0
96,5.361571444043136,1.0,12.648,1
97,3.2315714440431362,0.0,7.582,0
98,2.8115714440431363,0.0,12.33,0
99,2.901571444043136,0.0,6.446,1
100,7.551571444043136,0.0,2.615,0
101,1.8015714440431363,1.0,2.532,0
102,2.4215714440431366,1.0,2.899,1
103,3.0515714440431365,1.0,2.182,0
104,6.291571444043136,0.0,2.015,1
105,3.6415714440431364,0.0,8.015,1
106,3.6115714440431366,0.0,5.131,0
107,11.921571444043137,1.0,4.347,1
108,7.5115714440431365,1.0,1.597,1
109,3.651571444043136,0.0,3.498,1
110,3.3615714440431366,0.0,2.997,1
111,2.6215714440431364,0.0,7.514,0
112,2.5015714440431362,0.0,4.765,0
113,4.831571444043137,0.0,2.331,0
114,2.3115714440431363,0.0,3.265,0
115,1.7715714440431363,0.0,3.947,0
116,2.7615714440431365,0.0,3.597,0
