,RT1,R,RT_o,R_o
0,3.602689284063291,1.0,10.381,1
1,3.222689284063291,0.0,5.896,0
2,4.512689284063291,0.0,4.548,0
3,5.312689284063291,0.0,3.531,0
4,2.282689284063291,0.0,4.014,0
5,6.2026892840632915,0.0,2.547,1
6,2.2926892840632913,0.0,2.699,0
7,2.5426892840632913,0.0,2.098,0
8,3.402689284063291,1.0,4.364,0
9,9.522689284063292,0.0,2.631,0
10,3.552689284063291,0.0,2.098,0
11,4.112689284063292,1.0,5.198,0
12,3.622689284063291,1.0,9.73,0
13,5.762689284063291,0.0,2.764,0
14,6.152689284063291,0.0,4.28,0
15,4.50268928406329,0.0,3.481,0
16,2.142689284063291,0.0,3.214,0
17,8.00268928406329,1.0,3.48,0
18,2.642689284063291,0.0,3.931,1
19,5.922689284063291,0.0,2.098,1
20,4.692689284063292,1.0,2.281,0
21,1.662689284063291,0.0,4.047,1
22,2.372689284063291,0.0,5.031,0
23,5.162689284063291,0.0,2.047,0
24,12.762689284063292,0.0,11.281,0
25,8.68268928406329,1.0,6.681,1
26,2.2926892840632913,0.0,7.148,0
27,1.8126892840632909,1.0,7.065,0
28,1.602689284063291,1.0,4.597,0
29,2.632689284063291,0.0,6.248,0
30,2.392689284063291,0.0,2.88,0
31,5.192689284063291,0.0,2.497,0
32,3.922689284063291,1.0,1.714,0
33,7.312689284063291,1.0,3.481,0
34,5.302689284063291,0.0,5.681,1
35,4.2026892840632915,1.0,2.631,0
36,2.4426892840632908,0.0,4.031,0
37,4.692689284063292,0.0,2.647,0
38,2.062689284063291,1.0,6.216,0
39,3.222689284063291,0.0,5.516,1
40,2.092689284063291,0.0,3.599,0
41,3.102689284063291,0.0,4.733,1
42,4.0826892840632905,1.0,3.882,1
43,5.292689284063291,0.0,6.067,0
44,3.232689284063291,1.0,5.065,0
45,3.1926892840632908,1.0,3.23,0
46,3.302689284063291,1.0,3.08,0
47,5.0826892840632905,1.0,4.698,0
48,3.792689284063291,0.0,3.847,0
49,4.612689284063292,0.0,3.965,0
50,4.622689284063291,0.0,4.131,0
51,7.4926892840632915,0.0,10.848,1
52,2.432689284063291,0.0,3.68,1
53,2.642689284063291,0.0,5.231,0
54,3.142689284063291,0.0,7.932,0
55,3.412689284063291,0.0,7.331,0
56,1.882689284063291,0.0,3.781,0
57,15.122689284063291,0.0,4.847,0
58,10.542689284063291,0.0,3.763,0
59,3.612689284063291,0.0,12.398,0
60,2.512689284063291,0.0,2.648,0
61,4.2826892840632915,0.0,3.998,0
62,8.672689284063292,0.0,3.247,0
63,2.1526892840632907,0.0,3.614,0
64,4.772689284063291,1.0,1.413,0
65,5.502689284063291,0.0,3.648,0
66,5.292689284063291,0.0,5.098,0
67,2.642689284063291,0.0,5.648,0
68,2.332689284063291,0.0,5.248,1
69,16.14268928406329,0.0,3.031,1
70,8.052689284063291,0.0,1.565,1
71,3.842689284063291,1.0,8.165,0
72,14.352689284063292,1.0,2.532,0
73,5.042689284063291,0.0,4.032,0
74,6.652689284063291,1.0,5.432,0
75,2.7126892840632912,0.0,2.515,0
76,2.172689284063291,1.0,3.149,0
77,2.3226892840632907,0.0,5.064,0
78,2.732689284063291,1.0,9.881,0
79,2.982689284063291,1.0,3.148,0
80,4.762689284063291,0.0,3.064,1
81,3.332689284063291,1.0,5.131,0
82,2.242689284063291,0.0,3.814,0
83,5.222689284063291,0.0,2.897,0
84,6.802689284063291,0.0,3.363,0
85,5.512689284063291,0.0,4.464,0
86,3.352689284063291,1.0,3.364,0
87,6.852689284063291,0.0,3.914,0
88,2.272689284063291,0.0,3.214,0
89,1.602689284063291,1.0,3.131,0
90,7.892689284063291,0.0,2.164,0
91,2.452689284063291,0.0,4.83,0
92,3.512689284063291,0.0,2.58,0
93,4.602689284063291,1.0,1.547,0
94,3.032689284063291,0.0,2.448,0
95,2.802689284063291,0.0,5.981,0
96,8.332689284063292,1.0,12.648,1
97,6.052689284063291,0.0,7.582,0
98,5.432689284063291,0.0,12.33,0
99,4.492689284063291,1.0,6.446,1
100,7.252689284063291,0.0,2.615,0
101,13.472689284063291,0.0,2.532,0
102,5.402689284063291,0.0,2.899,1
103,6.642689284063291,0.0,2.182,0
104,2.582689284063291,0.0,2.015,1
105,3.312689284063291,0.0,8.015,1
106,7.552689284063291,0.0,5.131,0
107,4.772689284063291,0.0,4.347,1
108,3.612689284063291,0.0,1.597,1
109,8.90268928406329,0.0,3.498,1
110,3.692689284063291,0.0,2.997,1
111,2.972689284063291,1.0,7.514,0
112,3.912689284063291,0.0,4.765,0
113,11.33268928406329,0.0,2.331,0
114,1.8126892840632909,0.0,3.265,0
115,2.732689284063291,0.0,3.947,0
116,1.662689284063291,1.0,3.597,0
117,3.492689284063291,1.0,7.014,1
118,2.7926892840632913,0.0,9.865,0
119,5.232689284063291,1.0,7.346,0
120,6.252689284063291,0.0,8.797,1
121,2.662689284063291,1.0,5.947,1
122,2.732689284063291,0.0,3.348,1
123,2.842689284063291,0.0,7.931,0
124,7.082689284063291,0.0,2.564,1
125,2.582689284063291,1.0,2.964,0
126,1.992689284063291,0.0,4.115,1
127,4.3326892840632905,0.0,3.58,1
128,6.192689284063291,0.0,5.698,0
129,5.532689284063291,0.0,2.164,0
130,14.81268928406329,0.0,2.897,0
131,9.23268928406329,0.0,3.765,0
132,2.422689284063291,0.0,1.648,0
133,1.8226892840632911,1.0,2.13,0
134,6.122689284063291,0.0,11.931,0
135,6.592689284063291,0.0,4.08,0
136,1.722689284063291,0.0,5.514,0
137,5.042689284063291,0.0,2.598,1
138,2.372689284063291,0.0,2.548,1
139,3.742689284063291,0.0,2.98,1
140,1.882689284063291,1.0,7.498,0
141,3.172689284063291,1.0,4.831,0
142,8.032689284063292,0.0,3.565,0
143,4.372689284063291,0.0,3.581,0
144,1.762689284063291,1.0,4.514,0
145,3.392689284063291,0.0,3.798,0
146,2.4626892840632912,0.0,1.915,0
147,1.852689284063291,0.0,2.981,0
148,3.102689284063291,0.0,4.581,0
149,2.642689284063291,0.0,2.365,0
150,3.312689284063291,1.0,2.814,0
151,3.412689284063291,0.0,1.931,0
152,16.14268928406329,0.0,3.947,0
153,6.672689284063291,0.0,3.745,0
154,4.4526892840632915,0.0,6.349,0
155,5.902689284063291,1.0,7.564,0
156,2.802689284063291,1.0,7.215,0
157,2.2126892840632912,1.0,2.248,0
158,6.2026892840632915,0.0,4.281,0
159,2.2926892840632913,1.0,3.531,0
160,4.792689284063291,0.0,5.431,0
161,10.42268928406329,1.0,5.664,0
162,5.582689284063291,0.0,6.364,1
163,6.372689284063291,0.0,2.664,1
164,10.98268928406329,0.0,2.647,1
165,7.322689284063291,0.0,10.265,0
166,2.972689284063291,0.0,5.699,0
167,6.962689284063291,0.0,8.797,0
168,3.942689284063291,0.0,6.831,0
169,7.212689284063291,1.0,2.848,0
170,2.5026892840632913,0.0,6.082,0
171,7.362689284063291,0.0,3.231,1
172,6.9926892840632915,0.0,3.215,0
173,3.952689284063291,0.0,5.148,0
174,6.432689284063291,1.0,4.798,0
175,1.932689284063291,0.0,4.614,0
176,3.1126892840632907,0.0,5.147,0
177,4.262689284063291,0.0,2.831,0
178,4.9526892840632915,0.0,3.915,0
179,2.8226892840632907,0.0,5.515,0
180,2.7126892840632912,0.0,4.097,1
181,5.302689284063291,1.0,5.631,1
182,3.572689284063291,1.0,3.548,1
183,1.932689284063291,1.0,9.648,0
184,2.1926892840632908,0.0,9.881,0
185,4.7026892840632915,0.0,4.047,0
186,2.4426892840632908,0.0,3.464,0
187,2.162689284063291,0.0,9.531,0
188,16.14268928406329,1.0,9.397,0
189,3.262689284063291,0.0,2.947,0
190,2.2526892840632913,0.0,8.115,1
191,6.942689284063291,0.0,7.198,0
192,9.432689284063292,0.0,4.564,0
193,6.432689284063291,0.0,11.914,1
194,3.962689284063291,0.0,4.346,0
195,4.4526892840632915,1.0,9.815,1
196,6.632689284063291,0.0,3.665,0
197,3.982689284063291,1.0,3.565,0
198,1.9826892840632908,1.0,5.831,0
199,1.932689284063291,0.0,2.615,0
200,4.052689284063291,1.0,10.163,1
201,1.622689284063291,0.0,4.881,0
