,RT1,R,RT_o,R_o
1,1.9203477334169254,0.0,1.473,0
2,3.7603477334169257,1.0,2.048,0
3,1.6903477334169255,0.0,0.801,0
5,2.1003477334169256,0.0,3.365,0
6,4.110347733416925,0.0,6.24,0
7,3.7303477334169255,0.0,3.722,0
8,0.8303477334169254,1.0,2.756,0
9,4.9803477334169255,0.0,3.482,0
10,1.3903477334169254,0.0,3.264,0
11,5.970347733416926,0.0,2.974,0
14,5.300347733416926,0.0,2.707,0
15,1.2003477334169255,0.0,1.935,0
16,2.5503477334169253,0.0,2.732,0
17,7.200347733416925,1.0,5.265,1
18,5.570347733416925,0.0,6.888,1
19,2.2403477334169253,1.0,4.547,1
20,2.0103477334169253,1.0,7.389,1
21,3.3603477334169254,1.0,2.252,0
22,7.920347733416926,1.0,2.973,0
23,1.9403477334169255,1.0,3.448,1
24,5.7703477334169255,0.0,4.069,1
25,0.9903477334169255,0.0,1.732,0
27,6.640347733416926,1.0,3.555,0
28,2.7303477334169255,0.0,1.838,0
29,3.7803477334169253,1.0,2.598,0
31,3.2303477334169255,0.0,4.163,0
32,2.0503477334169253,0.0,3.874,0
34,0.7403477334169254,0.0,2.533,0
35,3.7903477334169255,0.0,3.04,0
36,2.1003477334169256,0.0,4.023,0
37,2.0903477334169254,0.0,3.456,0
38,6.670347733416926,0.0,6.039,0
39,2.3803477334169254,1.0,2.382,0
40,1.6203477334169254,1.0,3.573,0
42,3.9503477334169257,0.0,3.504,0
43,3.7403477334169257,1.0,3.282,0
44,1.7203477334169255,0.0,5.257,0
45,2.7803477334169253,0.0,4.323,0
46,4.280347733416925,0.0,5.057,0
48,5.490347733416925,0.0,3.173,0
49,5.650347733416925,0.0,2.932,0
51,2.2103477334169255,0.0,2.846,0
52,1.0403477334169253,0.0,2.385,0
53,2.1103477334169254,0.0,3.415,0
54,1.3203477334169254,0.0,2.323,0
55,7.800347733416926,0.0,5.74,0
57,2.4303477334169252,0.0,1.853,0
58,2.6703477334169254,0.0,3.115,0
59,2.6003477334169256,0.0,3.373,1
60,2.7903477334169255,0.0,7.239,0
61,3.0303477334169253,0.0,4.411,1
62,2.8803477334169254,0.0,2.75,0
63,7.9803477334169255,1.0,1.674,0
64,6.880347733416926,1.0,5.207,0
65,2.1003477334169256,0.0,3.064,0
66,1.0403477334169253,1.0,4.105,0
67,3.0703477334169254,0.0,4.038,0
68,1.5103477334169255,0.0,2.606,0
69,3.6403477334169256,0.0,7.022,0
70,2.0003477334169255,1.0,4.072,1
71,5.060347733416926,0.0,2.065,0
72,5.580347733416925,1.0,5.431,0
73,4.220347733416926,0.0,2.089,0
74,4.4403477334169255,0.0,3.838,0
75,4.320347733416925,0.0,3.298,0
76,4.320347733416925,1.0,1.89,0
77,2.9003477334169254,0.0,2.523,0
78,2.7003477334169257,0.0,1.124,0
79,4.430347733416926,0.0,2.857,0
80,1.6503477334169254,0.0,4.723,0
81,7.950347733416925,0.0,7.391,0
82,3.4603477334169255,0.0,5.382,1
83,4.040347733416925,0.0,5.735,0
84,1.1903477334169255,0.0,7.539,0
85,1.7803477334169255,0.0,4.759,0
86,2.8103477334169256,0.0,1.574,1
87,4.290347733416925,0.0,1.547,1
88,5.330347733416925,0.0,3.507,0
89,7.620347733416925,0.0,2.756,1
90,3.6803477334169257,0.0,1.731,1
91,3.4703477334169257,1.0,1.319,1
92,2.4203477334169254,0.0,7.255,1
93,1.4103477334169254,0.0,4.33,1
94,0.9703477334169255,1.0,4.358,1
95,2.2203477334169253,0.0,4.022,1
96,2.7503477334169255,0.0,4.813,1
97,6.130347733416926,1.0,7.055,1
98,4.970347733416926,0.0,6.073,0
100,3.5803477334169256,0.0,5.065,0
101,4.630347733416926,0.0,3.832,0
102,5.330347733416925,1.0,3.457,1
103,3.3803477334169254,0.0,3.833,0
104,3.5803477334169256,1.0,1.923,0
105,2.3003477334169253,0.0,1.869,0
106,7.240347733416925,1.0,6.607,0
107,2.6303477334169254,1.0,4.53,1
108,2.5003477334169255,0.0,1.903,0
109,1.7703477334169255,0.0,3.005,0
110,2.6703477334169254,0.0,3.282,0
111,1.7703477334169255,0.0,4.491,0
112,1.6403477334169254,1.0,1.556,0
113,2.2603477334169253,1.0,3.102,0
114,1.3703477334169254,1.0,3.872,0
115,2.9003477334169254,0.0,3.249,0
116,2.2603477334169253,0.0,3.407,1
117,3.1903477334169255,1.0,3.273,1
118,2.4203477334169254,0.0,1.565,0
119,3.8003477334169253,0.0,5.039,0
120,7.160347733416925,0.0,2.496,0
121,2.6103477334169254,1.0,4.372,0
122,5.240347733416925,0.0,6.403,0
123,3.7503477334169255,0.0,3.632,0
124,1.0003477334169255,0.0,2.057,1
125,5.810347733416926,0.0,2.516,1
126,5.900347733416925,1.0,1.822,1
128,2.4903477334169253,0.0,3.94,1
129,2.2003477334169252,0.0,2.79,0
130,3.3603477334169254,0.0,3.998,0
131,1.1303477334169254,0.0,3.707,0
132,1.5903477334169256,0.0,4.386,1
133,5.830347733416925,0.0,6.174,0
134,3.0803477334169256,0.0,3.749,0
135,4.960347733416926,0.0,4.149,0
136,1.9703477334169255,1.0,4.914,1
137,3.5303477334169253,0.0,4.406,1
