,RT1,R,RT_o,R_o
0,6.462356938905492,0.0,3.04,1
1,4.8923569389054915,0.0,1.473,0
2,1.9323569389054915,0.0,2.048,0
4,3.2023569389054916,0.0,3.69,0
6,4.732356938905491,0.0,6.24,0
7,5.622356938905492,0.0,3.722,0
8,4.172356938905492,0.0,2.756,0
9,2.0723569389054917,1.0,3.482,0
10,3.9723569389054916,0.0,3.264,0
11,4.962356938905492,1.0,2.974,0
12,4.482356938905491,0.0,1.84,0
14,2.2223569389054916,0.0,2.707,0
15,6.652356938905491,0.0,1.935,0
16,2.2523569389054914,0.0,2.732,0
17,6.152356938905491,0.0,5.265,1
18,7.3923569389054915,0.0,6.888,1
19,2.1623569389054915,0.0,4.547,1
20,2.3323569389054915,0.0,7.389,1
22,3.0723569389054917,0.0,2.973,0
23,1.3923569389054915,1.0,3.448,1
24,2.6223569389054915,1.0,4.069,1
25,6.792356938905492,0.0,1.732,0
26,5.1823569389054915,0.0,1.356,0
27,3.0723569389054917,0.0,3.555,0
28,2.1523569389054917,0.0,1.838,0
30,2.2823569389054916,1.0,5.39,0
31,5.312356938905491,0.0,4.163,0
33,4.672356938905492,0.0,2.896,0
34,5.452356938905491,1.0,2.533,0
35,3.0423569389054914,0.0,3.04,0
36,5.9323569389054915,1.0,4.023,0
37,3.8723569389054915,0.0,3.456,0
38,1.9123569389054915,0.0,6.039,0
39,2.4823569389054914,0.0,2.382,0
40,2.2723569389054914,0.0,3.573,0
41,1.3623569389054917,0.0,3.882,0
43,5.4323569389054915,0.0,3.282,0
44,1.9723569389054916,1.0,5.257,0
45,3.8923569389054915,0.0,4.323,0
46,2.5223569389054914,1.0,5.057,0
47,7.592356938905492,1.0,1.722,0
48,2.3723569389054915,0.0,3.173,0
49,2.0223569389054914,1.0,2.932,0
50,7.282356938905491,0.0,2.823,0
51,4.792356938905492,1.0,2.846,0
52,7.1823569389054915,1.0,2.385,0
53,4.292356938905492,0.0,3.415,0
54,2.0423569389054914,0.0,2.323,0
55,3.8523569389054915,0.0,5.74,0
56,3.6123569389054917,0.0,5.023,0
57,2.7523569389054914,0.0,1.853,0
58,3.0423569389054914,1.0,3.115,0
59,2.3323569389054915,0.0,3.373,1
60,3.3123569389054914,0.0,7.239,0
61,3.9123569389054915,0.0,4.411,1
62,2.212356938905492,0.0,2.75,0
63,1.3923569389054915,0.0,1.674,0
64,5.062356938905491,0.0,5.207,0
65,3.2723569389054914,0.0,3.064,0
66,4.832356938905492,0.0,4.105,0
67,6.6423569389054915,0.0,4.038,0
69,1.5223569389054914,0.0,7.022,0
70,3.2323569389054914,0.0,4.072,1
71,1.3223569389054917,0.0,2.065,0
72,3.3523569389054915,0.0,5.431,0
74,6.002356938905492,0.0,3.838,0
77,2.1923569389054918,1.0,2.523,0
78,2.3023569389054916,0.0,1.124,0
80,2.7023569389054916,0.0,4.723,0
82,6.062356938905491,0.0,5.382,1
83,3.5623569389054914,0.0,5.735,0
84,5.782356938905491,0.0,7.539,0
85,4.222356938905492,1.0,4.759,0
86,4.412356938905492,0.0,1.574,1
87,1.8423569389054917,1.0,1.547,1
88,2.4923569389054916,0.0,3.507,0
89,6.762356938905492,0.0,2.756,1
90,1.4723569389054916,0.0,1.731,1
91,1.4223569389054915,0.0,1.319,1
93,4.3923569389054915,0.0,4.33,1
94,4.012356938905492,1.0,4.358,1
95,4.512356938905492,0.0,4.022,1
96,3.5123569389054916,0.0,4.813,1
97,4.742356938905492,0.0,7.055,1
98,7.972356938905492,0.0,6.073,0
99,1.2523569389054916,0.0,4.59,0
101,2.9923569389054916,0.0,3.832,0
102,6.972356938905492,0.0,3.457,1
103,1.9823569389054914,0.0,3.833,0
104,2.5023569389054914,0.0,1.923,0
106,3.7423569389054916,1.0,6.607,0
107,1.8623569389054917,0.0,4.53,1
108,5.452356938905491,0.0,1.903,0
109,6.992356938905491,0.0,3.005,0
111,5.542356938905492,0.0,4.491,0
112,2.4423569389054918,0.0,1.556,0
113,4.002356938905492,0.0,3.102,0
114,2.7223569389054916,0.0,3.872,0
115,3.9423569389054913,0.0,3.249,0
118,4.002356938905492,0.0,1.565,0
119,3.3323569389054915,1.0,5.039,0
120,3.2323569389054914,0.0,2.496,0
121,6.112356938905491,1.0,4.372,0
122,4.442356938905491,0.0,6.403,0
123,3.2123569389054913,0.0,3.632,0
125,6.662356938905492,0.0,2.516,1
126,1.9423569389054918,0.0,1.822,1
127,4.092356938905492,0.0,2.19,1
128,3.3723569389054915,1.0,3.94,1
129,7.472356938905492,0.0,2.79,0
131,3.6123569389054917,0.0,3.707,0
132,3.2023569389054916,0.0,4.386,1
133,4.542356938905492,1.0,6.174,0
134,6.342356938905492,1.0,3.749,0
135,2.9023569389054913,0.0,4.149,0
136,1.8923569389054915,1.0,4.914,1
137,1.5123569389054916,1.0,4.406,1
138,1.2623569389054916,0.0,4.941,0
139,5.592356938905492,0.0,3.873,0
140,5.062356938905491,0.0,5.807,0
141,4.3923569389054915,0.0,4.032,1
142,3.1023569389054915,0.0,1.623,0
143,2.4023569389054917,0.0,1.348,0
144,6.752356938905492,1.0,2.49,0
145,4.942356938905491,0.0,1.628,0
146,1.4923569389054916,0.0,1.273,0
147,7.952356938905492,0.0,3.44,0
148,3.9323569389054915,1.0,5.457,0
149,2.7223569389054916,0.0,4.565,1
150,2.7823569389054916,0.0,2.557,0
151,3.4323569389054915,0.0,1.92,0
152,7.222356938905492,1.0,2.623,0
153,4.3923569389054915,0.0,3.33,0
154,2.462356938905492,0.0,6.49,1
155,1.8123569389054914,0.0,4.297,0
156,4.1823569389054915,0.0,7.64,0
157,5.512356938905492,1.0,4.336,0
158,5.012356938905492,0.0,3.05,0
159,4.002356938905492,0.0,2.806,0
160,2.5223569389054914,0.0,2.239,0
161,5.782356938905491,0.0,2.139,0
162,4.252356938905492,0.0,2.131,0
163,2.8923569389054915,1.0,0.654,0
164,5.512356938905492,0.0,3.673,0
165,3.2123569389054913,1.0,6.44,1
166,2.1423569389054915,0.0,4.67,0
167,1.9823569389054914,1.0,2.823,0
168,3.1723569389054913,1.0,3.148,1
169,2.9923569389054916,0.0,4.523,1
170,2.7623569389054916,0.0,3.257,0
171,2.5623569389054914,0.0,4.239,1
173,2.3823569389054917,0.0,4.655,0
174,6.9323569389054915,0.0,1.873,0
175,2.5223569389054914,0.0,3.44,0
176,5.262356938905492,0.0,3.04,1
177,7.492356938905491,0.0,1.473,0
178,7.972356938905492,0.0,3.448,1
179,3.5823569389054915,0.0,4.069,1
180,7.122356938905492,0.0,4.069,1
181,6.502356938905492,0.0,3.555,0
182,3.9923569389054916,1.0,3.456,0
183,3.4823569389054914,1.0,3.456,0
185,5.292356938905492,0.0,5.057,0
186,5.132356938905492,0.0,5.057,0
187,1.9523569389054916,0.0,4.323,0
188,3.4623569389054913,0.0,5.057,0
189,2.6923569389054918,0.0,7.239,0
191,4.052356938905492,0.0,4.411,1
194,1.2023569389054916,0.0,5.207,0
195,1.5923569389054917,0.0,4.105,0
196,1.7223569389054916,1.0,2.606,0
197,4.042356938905492,1.0,2.857,0
198,6.282356938905491,0.0,5.065,0
199,6.472356938905492,1.0,4.59,0
200,5.792356938905492,0.0,5.065,0
201,3.7223569389054916,0.0,3.832,0
202,1.2623569389054916,0.0,3.832,0
203,1.9923569389054916,0.0,3.832,0
204,1.9523569389054916,0.0,3.457,1
205,5.8523569389054915,0.0,3.833,0
206,4.032356938905492,0.0,1.923,0
207,5.8523569389054915,1.0,1.869,0
208,3.0723569389054917,0.0,6.607,0
209,4.422356938905492,0.0,6.607,0
210,3.1323569389054913,0.0,6.607,0
211,1.7623569389054916,1.0,6.607,0
212,2.2023569389054916,0.0,6.607,0
213,4.022356938905491,0.0,1.903,0
214,5.292356938905492,0.0,3.005,0
215,2.3323569389054915,0.0,1.903,0
216,2.0523569389054916,0.0,3.407,1
217,1.9823569389054914,1.0,3.407,1
218,4.772356938905491,1.0,3.407,1
219,5.192356938905491,1.0,3.273,1
220,1.6423569389054915,0.0,2.496,0
221,7.612356938905491,1.0,1.565,0
222,3.8023569389054916,0.0,3.707,0
223,2.4223569389054918,0.0,6.174,0
224,2.0123569389054916,1.0,4.149,0
225,5.612356938905491,0.0,3.749,0
226,1.3423569389054917,0.0,4.297,0
227,3.0423569389054914,0.0,4.297,0
228,5.092356938905492,1.0,4.67,0
229,5.752356938905492,0.0,3.673,0
230,2.4223569389054918,1.0,6.44,1
231,4.672356938905492,0.0,1.873,0
232,2.6023569389054915,0.0,4.655,0
233,5.662356938905492,0.0,1.873,0
