,RT1,R,RT_o,R_o
0,0.9505462143868773,0.0,3.04,1
1,1.7905462143868773,0.0,1.473,0
2,2.4705462143868773,0.0,2.048,0
3,6.660546214386877,0.0,0.801,0
4,3.150546214386877,1.0,3.69,0
5,2.610546214386877,0.0,3.365,0
6,4.070546214386877,1.0,6.24,0
7,2.840546214386877,0.0,3.722,0
8,4.390546214386878,0.0,2.756,0
9,2.800546214386877,1.0,3.482,0
10,2.670546214386877,0.0,3.264,0
11,1.9705462143868773,0.0,2.974,0
12,4.510546214386877,1.0,1.84,0
13,1.7905462143868773,0.0,1.731,0
14,5.130546214386877,0.0,2.707,0
15,2.820546214386877,0.0,1.935,0
16,1.9405462143868772,0.0,2.732,0
17,2.040546214386877,0.0,5.265,1
18,4.830546214386877,1.0,6.888,1
19,4.990546214386877,1.0,4.547,1
20,2.120546214386877,0.0,7.389,1
21,2.390546214386877,0.0,2.252,0
22,1.6005462143868774,0.0,2.973,0
24,1.9105462143868772,1.0,4.069,1
25,3.800546214386877,0.0,1.732,0
26,4.070546214386877,0.0,1.356,0
27,3.460546214386877,0.0,3.555,0
28,1.9205462143868772,0.0,1.838,0
29,2.960546214386877,1.0,2.598,0
30,2.0705462143868774,0.0,5.39,0
31,5.910546214386877,1.0,4.163,0
32,3.350546214386877,0.0,3.874,0
33,2.730546214386877,0.0,2.896,0
35,4.090546214386877,1.0,3.04,0
36,2.2205462143868773,1.0,4.023,0
37,1.6505462143868772,0.0,3.456,0
38,3.5305462143868773,0.0,6.039,0
39,2.0105462143868773,0.0,2.382,0
40,2.4305462143868772,0.0,3.573,0
41,2.880546214386877,0.0,3.882,0
43,6.340546214386877,0.0,3.282,0
44,4.7705462143868775,0.0,5.257,0
45,3.2005462143868773,0.0,4.323,0
46,4.550546214386877,0.0,5.057,0
47,3.060546214386877,0.0,1.722,0
48,1.5405462143868773,1.0,3.173,0
49,2.9905462143868773,0.0,2.932,0
50,1.5105462143868773,1.0,2.823,0
51,4.250546214386877,0.0,2.846,0
52,6.670546214386877,0.0,2.385,0
53,2.0505462143868773,1.0,3.415,0
54,6.840546214386877,1.0,2.323,0
55,1.3205462143868771,0.0,5.74,0
56,2.0305462143868773,0.0,5.023,0
57,1.0805462143868771,1.0,1.853,0
58,5.100546214386877,1.0,3.115,0
59,0.8805462143868772,0.0,3.373,1
60,1.8905462143868772,0.0,7.239,0
62,1.2705462143868773,0.0,2.75,0
63,5.530546214386877,0.0,1.674,0
64,1.8305462143868774,1.0,5.207,0
65,3.890546214386877,1.0,3.064,0
66,7.950546214386877,1.0,4.105,0
67,3.7205462143868773,1.0,4.038,0
68,2.2405462143868773,0.0,2.606,0
70,2.2405462143868773,0.0,4.072,1
71,4.740546214386877,1.0,2.065,0
72,3.1805462143868772,0.0,5.431,0
73,3.390546214386877,0.0,2.089,0
74,3.480546214386877,1.0,3.838,0
75,2.590546214386877,0.0,3.298,0
76,4.260546214386878,0.0,1.89,0
77,4.060546214386878,0.0,2.523,0
78,0.9605462143868773,0.0,1.124,0
79,4.290546214386877,1.0,2.857,0
80,5.700546214386877,1.0,4.723,0
81,2.410546214386877,0.0,7.391,0
83,0.9005462143868772,0.0,5.735,0
84,1.3805462143868772,0.0,7.539,0
85,7.410546214386877,0.0,4.759,0
88,1.9405462143868772,0.0,3.507,0
90,2.9705462143868773,1.0,1.731,1
91,2.650546214386877,0.0,1.319,1
93,4.570546214386877,0.0,4.33,1
94,1.4705462143868773,0.0,4.358,1
95,5.470546214386877,0.0,4.022,1
96,1.8405462143868774,0.0,4.813,1
97,3.9305462143868772,1.0,7.055,1
98,1.7205462143868773,0.0,6.073,0
99,3.790546214386877,0.0,4.59,0
100,6.250546214386877,0.0,5.065,0
