RT,R
3.912853029472145,0.0
3.202853029472145,0.0
2.072853029472145,0.0
15.002853029472146,0.0
9.402853029472144,1.0
1.542853029472145,0.0
2.372853029472145,0.0
4.772853029472145,0.0
7.732853029472145,0.0
10.372853029472147,1.0
3.1028530294721453,0.0
4.5528530294721445,1.0
2.062853029472145,0.0
3.552853029472145,0.0
6.222853029472145,0.0
3.322853029472145,0.0
2.992853029472145,0.0
4.0928530294721455,0.0
3.382853029472145,0.0
5.452853029472145,0.0
5.502853029472145,1.0
3.422853029472145,1.0
5.602853029472145,0.0
4.9228530294721455,0.0
4.492853029472145,0.0
2.032853029472145,1.0
5.062853029472145,0.0
3.592853029472145,0.0
11.952853029472145,0.0
3.1728530294721446,0.0
8.372853029472145,0.0
3.052853029472145,0.0
5.252853029472145,0.0
1.9128530294721449,0.0
9.342853029472145,0.0
2.512853029472145,0.0
5.712853029472145,0.0
2.822853029472145,0.0
10.582853029472144,1.0
4.102853029472145,1.0
6.122853029472145,0.0
3.432853029472145,0.0
2.5028530294721447,0.0
2.132853029472145,1.0
3.532853029472145,0.0
7.242853029472145,0.0
3.952853029472145,0.0
8.152853029472144,0.0
3.012853029472145,1.0
3.972853029472145,0.0
5.252853029472145,1.0
5.732853029472145,1.0
3.1728530294721446,0.0
7.612853029472145,1.0
3.402853029472145,1.0
3.282853029472145,0.0
2.862853029472145,0.0
8.052853029472146,1.0
4.192853029472145,0.0
6.512853029472145,1.0
3.512853029472145,1.0
6.542853029472145,0.0
2.082853029472145,0.0
5.8428530294721455,0.0
2.172853029472145,1.0
1.482853029472145,0.0
2.142853029472145,1.0
2.652853029472145,0.0
4.112853029472145,0.0
2.7528530294721447,1.0
6.632853029472145,0.0
2.232853029472145,0.0
5.242853029472145,0.0
2.2928530294721448,1.0
3.482853029472145,1.0
3.922853029472145,0.0
3.942853029472145,0.0
3.652853029472145,0.0
3.692853029472145,0.0
2.842853029472145,1.0
6.082853029472145,0.0
8.962853029472145,0.0
5.582853029472145,0.0
5.302853029472145,0.0
5.462853029472145,0.0
8.152853029472144,1.0
2.342853029472145,0.0
4.402853029472145,0.0
3.372853029472145,0.0
7.722853029472145,1.0
2.4628530294721447,0.0
5.742853029472145,1.0
4.0528530294721445,0.0
7.202853029472145,0.0
3.572853029472145,1.0
6.752853029472145,0.0
4.792853029472145,0.0
5.762853029472145,0.0
3.842853029472145,0.0
3.832853029472145,0.0
1.942853029472145,0.0
3.802853029472145,0.0
4.242853029472145,0.0
3.582853029472145,0.0
4.892853029472144,0.0
3.882853029472145,0.0
1.652853029472145,0.0
6.612853029472145,0.0
8.322853029472146,0.0
3.062853029472145,0.0
5.762853029472145,0.0
2.322853029472145,0.0
6.442853029472145,0.0
10.892853029472146,0.0
4.5928530294721455,0.0
4.232853029472145,1.0
16.242853029472144,0.0
2.562853029472145,1.0
2.582853029472145,0.0
5.612853029472145,0.0
2.272853029472145,0.0
2.692853029472145,0.0
5.702853029472145,0.0
3.532853029472145,0.0
9.522853029472145,0.0
4.062853029472144,0.0
4.402853029472145,0.0
4.002853029472146,0.0
1.8928530294721448,0.0
5.472853029472145,0.0
3.432853029472145,0.0
3.472853029472145,0.0
2.362853029472145,0.0
9.282853029472147,0.0
7.112853029472145,0.0
3.0428530294721448,0.0
3.522853029472145,0.0
6.852853029472145,0.0
3.332853029472145,0.0
3.822853029472145,0.0
2.382853029472145,0.0
3.052853029472145,0.0
2.3928530294721453,0.0
3.1028530294721453,0.0
16.242853029472144,0.0
6.252853029472145,0.0
4.202853029472145,0.0
8.202853029472145,1.0
2.4628530294721447,0.0
1.6428530294721448,0.0
4.372853029472145,0.0
2.532853029472145,0.0
4.992853029472145,1.0
3.382853029472145,0.0
2.182853029472145,0.0
4.372853029472145,0.0
11.322853029472146,0.0
2.4628530294721447,1.0
6.272853029472145,0.0
2.952853029472145,1.0
2.232853029472145,1.0
3.422853029472145,0.0
3.232853029472145,0.0
2.262853029472145,0.0
9.482853029472146,1.0
1.812853029472145,0.0
2.282853029472145,0.0
5.232853029472145,0.0
5.242853029472145,0.0
2.652853029472145,0.0
2.0028530294721447,0.0
2.902853029472145,1.0
7.3428530294721455,0.0
5.982853029472145,0.0
5.402853029472145,0.0
2.232853029472145,1.0
7.482853029472145,1.0
10.712853029472146,1.0
4.762853029472145,0.0
4.372853029472145,0.0
3.782853029472145,1.0
2.2528530294721447,0.0
4.352853029472145,0.0
3.192853029472145,0.0
2.742853029472145,1.0
4.202853029472145,0.0
4.9728530294721445,0.0
2.452853029472145,1.0
5.702853029472145,0.0
2.6728530294721446,1.0
2.912853029472145,0.0
4.002853029472146,0.0
9.362853029472145,0.0
10.192853029472147,1.0
3.162853029472145,0.0
3.082853029472145,0.0
10.892853029472146,0.0
11.232853029472146,1.0
6.562853029472145,1.0
2.832853029472145,0.0
4.662853029472145,0.0
3.582853029472145,0.0
5.122853029472145,1.0
7.802853029472145,0.0
12.612853029472145,0.0
2.142853029472145,0.0
5.042853029472145,0.0
5.252853029472145,1.0
14.202853029472145,0.0
3.272853029472145,0.0
1.6728530294721449,0.0
1.732853029472145,0.0
2.432853029472145,0.0
4.282853029472145,1.0
6.272853029472145,1.0
2.3528530294721453,1.0
4.482853029472145,0.0
6.902853029472145,0.0
3.022853029472145,0.0
3.592853029472145,0.0
2.092853029472145,0.0
2.0428530294721448,0.0
3.872853029472145,0.0
7.532853029472145,0.0
