,RT1,R,RT_o,R_o
0,7.120999499021069,0.0,3.04,1
1,0.9209994990210697,0.0,1.473,0
2,4.93099949902107,1.0,2.048,0
3,3.3309994990210696,1.0,0.801,0
4,2.71099949902107,0.0,3.69,0
5,3.7209994990210697,1.0,3.365,0
6,1.4309994990210697,0.0,6.24,0
7,2.9509994990210697,0.0,3.722,0
8,5.280999499021069,0.0,2.756,0
9,2.0809994990210696,0.0,3.482,0
10,3.71099949902107,0.0,3.264,0
11,5.22099949902107,0.0,2.974,0
12,6.460999499021069,0.0,1.84,0
14,5.580999499021069,0.0,2.707,0
16,3.65099949902107,0.0,2.732,0
17,2.5409994990210696,0.0,5.265,1
18,4.89099949902107,0.0,6.888,1
19,3.15099949902107,0.0,4.547,1
20,6.6909994990210695,0.0,7.389,1
21,3.3509994990210696,0.0,2.252,0
22,2.65099949902107,0.0,2.973,0
24,1.3109994990210698,1.0,4.069,1
25,2.0409994990210696,0.0,1.732,0
26,2.2409994990210698,0.0,1.356,0
28,2.8309994990210696,0.0,1.838,0
29,5.670999499021069,0.0,2.598,0
30,0.9909994990210698,1.0,5.39,0
31,1.2409994990210698,0.0,4.163,0
32,5.170999499021069,1.0,3.874,0
33,4.26099949902107,0.0,2.896,0
34,1.1409994990210697,0.0,2.533,0
35,2.1209994990210697,1.0,3.04,0
36,4.4809994990210695,0.0,4.023,0
37,2.26099949902107,0.0,3.456,0
38,3.21099949902107,1.0,6.039,0
39,3.07099949902107,0.0,2.382,0
41,2.61099949902107,0.0,3.882,0
42,1.6509994990210697,0.0,3.504,0
43,3.50099949902107,0.0,3.282,0
44,3.94099949902107,0.0,5.257,0
45,4.05099949902107,0.0,4.323,0
46,4.120999499021069,1.0,5.057,0
47,3.42099949902107,0.0,1.722,0
48,1.6209994990210699,0.0,3.173,0
49,3.48099949902107,0.0,2.932,0
50,2.53099949902107,1.0,2.823,0
51,2.1009994990210696,0.0,2.846,0
52,2.9909994990210698,0.0,2.385,0
53,2.67099949902107,0.0,3.415,0
54,2.4309994990210697,0.0,2.323,0
55,6.31099949902107,1.0,5.74,0
56,6.10099949902107,0.0,5.023,0
57,2.1609994990210697,1.0,1.853,0
58,1.4509994990210697,0.0,3.115,0
59,1.3409994990210696,0.0,3.373,1
61,2.0209994990210696,0.0,4.411,1
62,2.26099949902107,0.0,2.75,0
63,4.01099949902107,1.0,1.674,0
64,1.2309994990210698,0.0,5.207,0
65,3.57099949902107,0.0,3.064,0
66,4.580999499021069,0.0,4.105,0
67,3.56099949902107,0.0,4.038,0
68,1.6709994990210697,0.0,2.606,0
69,3.6809994990210697,0.0,7.022,0
70,1.8609994990210699,0.0,4.072,1
71,4.60099949902107,1.0,2.065,0
72,3.40099949902107,0.0,5.431,0
73,2.2409994990210698,0.0,2.089,0
74,1.5209994990210698,0.0,3.838,0
75,3.88099949902107,0.0,3.298,0
76,2.9109994990210697,0.0,1.89,0
77,1.8809994990210699,1.0,2.523,0
78,3.65099949902107,0.0,1.124,0
79,7.93099949902107,0.0,2.857,0
80,1.5209994990210698,1.0,4.723,0
82,4.820999499021069,0.0,5.382,1
83,1.5509994990210698,1.0,5.735,0
84,1.4209994990210697,0.0,7.539,0
85,2.2909994990210696,0.0,4.759,0
86,1.3009994990210698,0.0,1.574,1
87,4.070999499021069,0.0,1.547,1
88,3.8909994990210697,0.0,3.507,0
89,0.8209994990210697,0.0,2.756,1
91,3.55099949902107,0.0,1.319,1
92,2.77099949902107,0.0,7.255,1
93,2.59099949902107,0.0,4.33,1
94,5.700999499021069,1.0,4.358,1
95,0.7509994990210698,0.0,4.022,1
96,3.00099949902107,1.0,4.813,1
97,1.7909994990210698,0.0,7.055,1
98,6.93099949902107,1.0,6.073,0
99,2.03099949902107,1.0,4.59,0
100,1.0609994990210698,0.0,5.065,0
101,1.5009994990210698,0.0,3.832,0
102,2.2009994990210697,1.0,3.457,1
103,3.34099949902107,0.0,3.833,0
104,4.04099949902107,0.0,1.923,0
105,3.2009994990210697,1.0,1.869,0
106,5.360999499021069,0.0,6.607,0
107,1.7509994990210698,0.0,4.53,1
