s,RT,M,Scenario_Type,R,sex,age,RT1,theta,beta,alpha,Q4,Q6,beta_s,beta_s2,beta_s3,beta_s4,beta_s5
1,3.04,Video,GENDER,1,0,0,3.04,0,0,0,2,2,1,9,5,2,1
1,4.523,Video,GENDER,0,0,0,1.473,0,0,0,2,2,1,9,5,2,1
1,4.073,Video,GENDER,0,0,0,2.048,0,0,0,2,2,1,9,5,2,1
1,3.851,Video,GENDER,0,0,0,0.801,0,0,0,2,2,1,9,5,2,1
2,6.74,Video,GENDER,0,1,0,3.69,1,1,1,3,1,0,1,1,1,0
2,5.39,Video,GENDER,0,1,0,3.365,1,1,1,3,1,0,1,1,1,0
2,6.24,Video,GENDER,0,1,0,6.24,1,1,1,3,1,0,1,1,1,0
2,3.722,Video,GENDER,0,1,0,3.722,1,1,1,3,1,0,1,1,1,0
2,5.806,Video,GENDER,0,1,0,2.756,1,1,1,3,1,0,1,1,1,0
2,5.507,Video,GENDER,0,1,0,3.482,1,1,1,3,1,0,1,1,1,0
3,5.289,Video,GENDER,0,1,0,3.264,1,1,1,2,1,3,18,9,4,1
3,2.974,Video,GENDER,0,1,0,2.974,1,1,1,2,1,3,18,9,4,1
3,4.89,Video,GENDER,0,1,0,1.84,1,1,1,2,1,3,18,9,4,1
3,3.756,Video,GENDER,0,1,0,1.731,1,1,1,2,1,3,18,9,4,1
3,2.707,Video,GENDER,0,1,0,2.707,1,1,1,2,1,3,18,9,4,1
3,4.985,Video,GENDER,0,1,0,1.935,1,1,1,2,1,3,18,9,4,1
4,5.782,Video,GENDER,0,0,0,2.732,1,1,1,2,3,3,19,9,4,1
4,7.29,Video,GENDER,1,0,0,5.265,1,1,1,2,3,3,19,9,4,1
4,6.888,Video,GENDER,1,0,0,6.888,1,1,1,2,3,3,19,9,4,1
4,6.572,Video,GENDER,1,0,0,4.547,1,1,1,2,3,3,19,9,4,1
4,7.389,Video,GENDER,1,0,0,7.389,1,1,1,2,3,3,19,9,4,1
4,5.302,Video,GENDER,0,0,0,2.252,1,1,1,2,3,3,19,9,4,1
5,6.023,Video,GENDER,0,0,0,2.973,0,0,0,1,3,0,2,1,1,0
