RT,R
2.6821289397513466,0.0
3.0121289397513467,0.0
5.472128939751347,0.0
11.882128939751347,0.0
1.5821289397513463,0.0
12.602128939751347,0.0
2.1921289397513464,0.0
5.052128939751347,1.0
2.0721289397513463,1.0
3.4321289397513466,0.0
3.502128939751346,0.0
9.852128939751347,0.0
3.7821289397513462,0.0
7.3521289397513465,1.0
3.292128939751346,1.0
2.9321289397513466,1.0
3.4021289397513463,0.0
4.552128939751347,0.0
2.9721289397513466,0.0
13.452128939751347,1.0
2.6121289397513463,1.0
3.3221289397513463,0.0
9.142128939751347,0.0
2.0221289397513464,1.0
7.1021289397513465,1.0
4.572128939751346,0.0
3.832128939751346,0.0
2.2721289397513464,0.0
3.672128939751347,1.0
9.902128939751346,0.0
3.422128939751347,0.0
4.262128939751347,1.0
6.012128939751347,1.0
7.272128939751346,0.0
2.8621289397513463,0.0
9.792128939751347,0.0
5.0621289397513465,0.0
7.882128939751347,0.0
13.542128939751347,0.0
9.822128939751346,0.0
2.8821289397513463,0.0
3.0321289397513462,0.0
3.0521289397513467,0.0
5.522128939751346,0.0
2.492128939751346,0.0
2.0721289397513463,0.0
3.2221289397513466,0.0
3.8521289397513465,1.0
2.3821289397513463,0.0
3.3521289397513465,0.0
3.212128939751346,0.0
2.9321289397513466,0.0
4.272128939751346,0.0
3.202128939751346,0.0
9.522128939751347,0.0
3.5921289397513467,1.0
4.412128939751346,1.0
10.322128939751346,0.0
5.932128939751347,0.0
2.452128939751346,0.0
1.6921289397513464,0.0
3.952128939751346,0.0
14.282128939751347,0.0
4.6021289397513465,1.0
4.622128939751346,0.0
4.902128939751346,1.0
3.082128939751346,0.0
2.4721289397513466,0.0
2.6421289397513466,0.0
2.2321289397513464,0.0
5.202128939751347,0.0
2.2121289397513464,0.0
11.622128939751347,0.0
4.662128939751346,0.0
2.8021289397513467,0.0
1.8721289397513463,0.0
3.6021289397513465,1.0
3.162128939751346,0.0
2.4421289397513464,0.0
7.902128939751346,0.0
2.6821289397513466,0.0
5.222128939751347,0.0
1.6821289397513464,0.0
5.182128939751347,0.0
2.1821289397513466,0.0
1.7421289397513462,0.0
3.8021289397513467,0.0
2.3221289397513463,0.0
6.222128939751347,0.0
2.0921289397513463,0.0
5.472128939751347,0.0
1.8521289397513463,0.0
6.842128939751347,0.0
6.452128939751347,0.0
3.792128939751346,0.0
2.4221289397513464,0.0
2.1721289397513464,1.0
2.1321289397513463,1.0
3.872128939751346,0.0
3.7221289397513466,1.0
3.5921289397513467,0.0
4.242128939751346,1.0
6.8521289397513465,0.0
2.0321289397513462,0.0
2.4621289397513464,0.0
8.272128939751346,0.0
4.492128939751346,0.0
3.462128939751346,1.0
1.5221289397513464,1.0
6.712128939751347,0.0
6.372128939751347,0.0
13.242128939751346,0.0
3.0221289397513464,0.0
10.072128939751346,0.0
3.5121289397513467,0.0
10.592128939751348,0.0
5.342128939751347,0.0
9.672128939751346,0.0
6.532128939751346,0.0
5.1421289397513466,0.0
2.3121289397513465,0.0
7.662128939751347,1.0
4.302128939751347,0.0
2.6721289397513464,0.0
3.582128939751346,1.0
4.282128939751346,0.0
5.132128939751347,0.0
14.912128939751346,0.0
3.9721289397513466,0.0
7.122128939751347,0.0
3.8421289397513467,1.0
5.1421289397513466,0.0
1.9921289397513462,0.0
2.0321289397513462,1.0
3.1021289397513465,0.0
4.952128939751346,1.0
6.482128939751346,0.0
16.142128939751345,0.0
2.992128939751346,0.0
5.532128939751346,0.0
3.622128939751346,1.0
6.412128939751347,0.0
3.9021289397513463,0.0
1.8721289397513463,1.0
3.962128939751346,0.0
9.162128939751346,0.0
2.6321289397513463,0.0
2.5521289397513462,0.0
6.712128939751347,1.0
6.172128939751347,0.0
5.212128939751347,1.0
3.7321289397513464,1.0
2.7221289397513466,0.0
2.1021289397513465,0.0
6.472128939751347,0.0
2.8521289397513465,0.0
2.3021289397513462,0.0
3.662128939751346,0.0
2.3621289397513463,0.0
1.9321289397513464,0.0
9.002128939751346,1.0
3.8421289397513467,0.0
3.0021289397513464,0.0
6.412128939751347,0.0
3.5321289397513462,0.0
2.6821289397513466,0.0
1.8021289397513462,1.0
3.5121289397513467,0.0
2.0221289397513464,0.0
7.702128939751347,1.0
4.882128939751347,0.0
7.172128939751347,0.0
5.162128939751347,1.0
2.7321289397513464,0.0
16.132128939751347,0.0
2.7221289397513466,0.0
12.462128939751347,0.0
2.2521289397513464,0.0
1.8021289397513462,0.0
2.6021289397513465,0.0
3.5921289397513467,0.0
2.7921289397513465,0.0
3.1321289397513463,0.0
4.822128939751346,0.0
