RT1,R
5.327672188,0.0
2.207672188,0.0
2.937672188,1.0
6.477672188,0.0
1.477672188,0.0
1.1776721879999998,0.0
5.407672188,0.0
2.337672188,0.0
1.5176721880000001,0.0
1.367672188,0.0
5.827672188,0.0
2.177672188,0.0
6.817672188,0.0
2.057672188,0.0
2.037672188,0.0
6.927672188,0.0
1.707672188,1.0
5.987672188,0.0
4.697672188,1.0
1.417672188,0.0
2.347672188,0.0
2.507672188,0.0
2.327672188,0.0
1.157672188,0.0
2.417672188,0.0
6.977672188,0.0
3.387672188,0.0
3.397672188,0.0
4.557672188,0.0
7.177672188,0.0
2.547672188,0.0
6.907672188,1.0
1.507672188,1.0
7.557672188,0.0
4.427672188,0.0
5.157672188,0.0
3.3476721879999998,0.0
2.457672188,0.0
4.447672188,0.0
2.5776721879999998,0.0
3.2876721879999997,0.0
3.3276721879999998,0.0
1.5176721880000001,0.0
5.887672188,1.0
1.107672188,0.0
2.197672188,0.0
3.767672188,1.0
4.137672188,0.0
1.727672188,0.0
1.6176721880000002,0.0
2.887672188,1.0
1.4676721879999999,0.0
1.097672188,0.0
6.667672188,0.0
2.167672188,0.0
4.907672188,0.0
3.937672188,0.0
2.527672188,0.0
0.997672188,0.0
3.3076721879999997,0.0
1.7676721880000001,1.0
2.957672188,0.0
3.277672188,0.0
3.707672188,0.0
1.347672188,0.0
2.057672188,0.0
1.237672188,0.0
1.407672188,0.0
2.3676721880000002,0.0
1.337672188,0.0
7.057672188,0.0
1.9676721879999999,0.0
7.567672188,0.0
3.987672188,0.0
4.4376721880000005,0.0
4.347672188,0.0
1.187672188,0.0
6.587672188,0.0
1.8676721880000002,0.0
5.887672188,0.0
2.397672188,0.0
4.067672188,1.0
1.917672188,1.0
6.447672188,0.0
4.097672188,1.0
2.767672188,0.0
7.947672188,0.0
1.5976721880000002,0.0
4.677672188,0.0
1.077672188,0.0
2.867672188,0.0
3.8276721879999998,1.0
1.7676721880000001,0.0
6.397672188,0.0
2.377672188,0.0
1.117672188,1.0
3.937672188,1.0
1.2176721879999999,0.0
5.327672188,0.0
2.327672188,0.0
1.9976721880000001,0.0
1.6176721880000002,0.0
4.897672188,0.0
5.547672188,0.0
5.157672188,0.0
1.507672188,1.0
3.047672188,1.0
2.5976721879999998,0.0
2.637672188,0.0
4.757672188,0.0
2.157672188,0.0
3.797672188,0.0
4.777672188,1.0
2.637672188,0.0
1.917672188,0.0
2.817672188,1.0
5.767672188,0.0
3.477672188,0.0
4.517672188,1.0
1.5376721880000002,0.0
6.737672188,0.0
4.967672188,0.0
4.507672188,0.0
4.407672188,0.0
4.387672188,0.0
6.767672188,1.0
3.387672188,0.0
2.527672188,0.0
2.707672188,0.0
1.817672188,0.0
2.547672188,0.0
5.997672188,0.0
3.857672188,0.0
4.727672188,0.0
2.487672188,0.0
2.467672188,0.0
6.917672188,0.0
2.127672188,1.0
2.997672188,1.0
2.207672188,0.0
1.5776721880000002,0.0
1.5176721880000001,0.0
2.067672188,0.0
4.457672188,0.0
3.0376721879999997,0.0
5.437672188,1.0
2.057672188,0.0
5.977672188,0.0
2.5176721879999997,0.0
1.167672188,0.0
1.667672188,0.0
3.027672188,0.0
6.707672188,0.0
1.307672188,0.0
2.737672188,0.0
6.327672188,0.0
5.557672188,0.0
4.757672188,0.0
2.147672188,1.0
2.477672188,0.0
1.2676721880000001,0.0
5.567672188,1.0
3.667672188,1.0
2.037672188,0.0
0.907672188,0.0
1.987672188,0.0
2.187672188,1.0
1.4476721879999999,0.0
5.287672188,0.0
1.6976721879999999,0.0
2.357672188,0.0
0.847672188,0.0
2.797672188,0.0
4.097672188,0.0
7.327672188,0.0
1.337672188,0.0
1.8276721880000002,0.0
3.617672188,1.0
2.957672188,0.0
1.817672188,0.0
3.067672188,0.0
6.137672188,0.0
1.357672188,0.0
2.907672188,1.0
3.527672188,1.0
3.207672188,0.0
6.427672188,0.0
2.127672188,0.0
7.807672188,1.0
0.917672188,0.0
5.127672188,0.0
1.0176721880000001,1.0
2.727672188,0.0
1.6376721879999998,0.0
3.657672188,0.0
1.127672188,0.0
2.8276721879999998,0.0
2.707672188,0.0
2.167672188,0.0
7.587672188,0.0
3.617672188,0.0
1.607672188,0.0
2.8076721879999997,1.0
2.477672188,0.0
3.227672188,1.0
4.037672188,0.0
2.967672188,1.0
3.477672188,0.0
2.767672188,0.0
4.577672188,0.0
1.9676721879999999,0.0
3.677672188,0.0
2.5176721879999997,0.0
1.957672188,1.0
6.497672188,0.0
3.5576721879999997,0.0
4.3576721880000004,0.0
1.857672188,0.0
2.5976721879999998,0.0
1.977672188,0.0
2.247672188,0.0
5.317672188,0.0
7.547672188,1.0
1.2176721879999999,0.0
2.887672188,0.0
1.137672188,0.0
2.8276721879999998,0.0
1.8876721879999998,0.0
2.527672188,0.0
2.957672188,0.0
1.667672188,1.0
4.337672188,0.0
2.1176721880000002,0.0
6.637672188,0.0
3.0376721879999997,0.0
7.697672188,0.0
3.857672188,0.0
0.9376721880000001,0.0
7.817672188,0.0
4.517672188,1.0
2.5776721879999998,0.0
2.337672188,0.0
7.747672188,0.0
1.4676721879999999,0.0
2.527672188,0.0
1.277672188,0.0
3.437672188,0.0
2.657672188,0.0
2.937672188,0.0
2.087672188,1.0
6.907672188,0.0
4.477672188,0.0
2.017672188,0.0
2.377672188,0.0
3.0376721879999997,0.0
2.1176721880000002,0.0
2.947672188,0.0
1.6376721879999998,0.0
2.967672188,0.0
3.757672188,0.0
1.8276721880000002,0.0
0.997672188,1.0
3.857672188,1.0
4.857672188,0.0
2.767672188,0.0
1.4976721880000001,0.0
3.337672188,0.0
3.8076721879999997,0.0
3.147672188,0.0
1.797672188,0.0
2.167672188,0.0
6.107672188,0.0
4.127672188,0.0
1.157672188,0.0
1.877672188,0.0
5.247672188,0.0
5.627672188,0.0
3.507672188,0.0
1.817672188,0.0
6.207672188,0.0
4.817672188,0.0
1.9276721879999998,0.0
5.687672188,0.0
2.627672188,0.0
1.7176721879999999,0.0
2.777672188,0.0
1.7876721880000002,0.0
2.227672188,0.0
1.227672188,0.0
7.3576721880000004,0.0
2.497672188,1.0
2.737672188,0.0
2.287672188,0.0
3.237672188,0.0
2.1176721880000002,1.0
2.167672188,0.0
3.967672188,1.0
2.797672188,1.0
2.707672188,0.0
2.447672188,0.0
2.357672188,0.0
1.8676721880000002,0.0
3.357672188,1.0
6.587672188,0.0
6.637672188,0.0
3.637672188,1.0
1.067672188,0.0
1.527672188,0.0
1.897672188,1.0
1.5776721880000002,0.0
4.617672188,0.0
3.747672188,1.0
5.057672188,1.0
2.767672188,0.0
4.297672188,0.0
3.427672188,0.0
2.417672188,0.0
4.957672188,1.0
5.907672188,0.0
3.787672188,0.0
3.257672188,0.0
2.377672188,0.0
3.277672188,0.0
2.747672188,1.0
1.397672188,0.0
3.877672188,0.0
4.507672188,0.0
1.2476721880000001,0.0
1.6576721879999998,0.0
0.907672188,0.0
2.307672188,0.0
1.837672188,0.0
2.127672188,0.0
2.307672188,0.0
6.277672188,1.0
1.8876721879999998,0.0
1.087672188,0.0
3.5776721879999998,0.0
2.5576721879999997,1.0
3.0976721879999998,0.0
