RT,R
5.581764273662138,0.0
1.8017642736621378,0.0
1.3417642736621378,0.0
0.8917642736621376,1.0
1.8417642736621378,1.0
1.0017642736621377,1.0
1.6517642736621376,0.0
1.4417642736621377,0.0
1.4417642736621377,0.0
1.4617642736621377,0.0
1.4517642736621377,1.0
0.9217642736621376,1.0
1.2017642736621377,0.0
1.7217642736621377,0.0
1.2017642736621377,1.0
1.3217642736621378,1.0
1.0417642736621375,1.0
1.8617642736621378,0.0
1.3817642736621376,1.0
2.2417642736621377,0.0
1.2117642736621377,0.0
2.2117642736621375,0.0
0.8217642736621377,1.0
2.8517642736621376,1.0
2.091764273662138,0.0
1.7817642736621377,0.0
6.671764273662138,0.0
3.7817642736621377,0.0
1.1117642736621376,1.0
1.2417642736621377,0.0
2.2117642736621375,0.0
6.101764273662138,0.0
1.1917642736621377,1.0
2.5317642736621377,0.0
2.611764273662138,1.0
4.741764273662138,0.0
1.2817642736621377,1.0
2.631764273662138,0.0
1.1817642736621377,1.0
1.0617642736621375,1.0
3.4517642736621377,0.0
3.6117642736621374,0.0
2.111764273662138,0.0
1.4517642736621377,1.0
1.2917642736621375,0.0
1.0217642736621375,1.0
1.2617642736621377,0.0
1.2917642736621375,0.0
5.501764273662138,0.0
1.0817642736621376,0.0
1.0617642736621375,1.0
2.9417642736621374,0.0
1.3417642736621378,0.0
1.8517642736621376,0.0
2.151764273662138,1.0
2.3517642736621376,1.0
2.341764273662138,0.0
7.111764273662137,0.0
2.8517642736621376,1.0
1.5217642736621375,1.0
1.3717642736621376,1.0
0.9217642736621376,1.0
1.8117642736621375,0.0
3.0517642736621378,1.0
3.4217642736621374,1.0
2.421764273662138,0.0
1.4817642736621375,0.0
1.1217642736621376,0.0
1.6017642736621376,0.0
1.9717642736621377,1.0
3.2217642736621377,0.0
3.7617642736621377,0.0
1.8217642736621378,0.0
1.9517642736621377,0.0
1.5817642736621376,0.0
4.031764273662138,1.0
0.9717642736621377,1.0
2.3917642736621376,0.0
3.1117642736621374,0.0
1.8717642736621376,0.0
1.2817642736621377,1.0
1.9117642736621376,0.0
1.1617642736621376,0.0
1.5917642736621378,1.0
4.131764273662138,0.0
3.1517642736621374,0.0
1.3817642736621376,0.0
1.4317642736621377,0.0
1.5317642736621377,0.0
2.3717642736621376,0.0
2.671764273662138,0.0
1.4617642736621377,0.0
1.1417642736621376,1.0
1.0917642736621376,1.0
1.3717642736621376,1.0
4.001764273662138,0.0
1.5117642736621377,0.0
1.4817642736621375,1.0
2.8617642736621374,0.0
1.0417642736621375,1.0
1.3517642736621376,0.0
2.9217642736621374,0.0
1.6017642736621376,1.0
3.9217642736621374,1.0
2.8617642736621374,0.0
1.1317642736621376,1.0
3.7517642736621375,1.0
6.211764273662138,1.0
1.8617642736621378,0.0
3.4517642736621377,0.0
0.9617642736621377,0.0
1.2717642736621375,1.0
1.0217642736621375,1.0
4.961764273662138,1.0
1.0417642736621375,1.0
1.5217642736621375,1.0
1.7617642736621377,0.0
1.0017642736621377,1.0
1.0417642736621375,1.0
1.4917642736621377,0.0
1.7717642736621375,0.0
2.3717642736621376,0.0
2.4917642736621377,0.0
1.4717642736621377,0.0
1.2017642736621377,0.0
1.4917642736621377,0.0
3.321764273662138,0.0
2.3917642736621376,1.0
5.3117642736621375,0.0
2.7717642736621375,0.0
0.9917642736621376,1.0
1.4717642736621377,0.0
1.2317642736621377,1.0
1.1317642736621376,1.0
2.9717642736621377,0.0
1.9617642736621375,1.0
1.4417642736621377,1.0
2.4417642736621374,0.0
